Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_BEBIL_rre150m0_1_data.txt   Data      Biel / Bözingen                      Precipitation; monthly total                                200207-201302
order_94087_BEBIL_rre150m0_1_legend.txt Legend    Biel / Bözingen                      Precipitation; monthly total                                200207-201302
order_94087_BEBIL_rre150m0_2_data.txt   Data      Biel / Bözingen                      Precipitation; monthly total                                201304-201403
order_94087_BEBIL_rre150m0_2_legend.txt Legend    Biel / Bözingen                      Precipitation; monthly total                                201304-201403
order_94087_BIL_rre150m0_1_data.txt     Data      Biel/Bienne                          Precipitation; monthly total                                190009-201112
order_94087_BIL_rre150m0_1_legend.txt   Legend    Biel/Bienne                          Precipitation; monthly total                                190009-201112
order_94087_GLBIL_rre150m0_1_data.txt   Data      Bilten                               Precipitation; monthly total                                201309-201404
order_94087_GLBIL_rre150m0_1_legend.txt Legend    Bilten                               Precipitation; monthly total                                201309-201404
order_94087_GLBIL_rre150m0_2_data.txt   Data      Bilten                               Precipitation; monthly total                                201405-201406
order_94087_GLBIL_rre150m0_2_legend.txt Legend    Bilten                               Precipitation; monthly total                                201405-201406
order_94087_GLBIL_rre150m0_3_data.txt   Data      Bilten                               Precipitation; monthly total                                201407-201411
order_94087_GLBIL_rre150m0_3_legend.txt Legend    Bilten                               Precipitation; monthly total                                201407-201411
order_94087_GLBIL_rre150m0_4_data.txt   Data      Bilten                               Precipitation; monthly total                                201412-201505
order_94087_GLBIL_rre150m0_4_legend.txt Legend    Bilten                               Precipitation; monthly total                                201412-201505
order_94087_GLBIL_rre150m0_5_data.txt   Data      Bilten                               Precipitation; monthly total                                201506-201508
order_94087_GLBIL_rre150m0_5_legend.txt Legend    Bilten                               Precipitation; monthly total                                201506-201508
order_94087_GLBIL_rre150m0_6_data.txt   Data      Bilten                               Precipitation; monthly total                                201509-201607
order_94087_GLBIL_rre150m0_6_legend.txt Legend    Bilten                               Precipitation; monthly total                                201509-201607
order_94087_GLBIL_rre150m0_7_data.txt   Data      Bilten                               Precipitation; monthly total                                201608-201609
order_94087_GLBIL_rre150m0_7_legend.txt Legend    Bilten                               Precipitation; monthly total                                201608-201609
order_94087_GLBIL_rre150m0_8_data.txt   Data      Bilten                               Precipitation; monthly total                                201611-201710
order_94087_GLBIL_rre150m0_8_legend.txt Legend    Bilten                               Precipitation; monthly total                                201611-201710
order_94087_GLBIL_rre150m0_9_data.txt   Data      Bilten                               Precipitation; monthly total                                201802-201803
order_94087_GLBIL_rre150m0_9_legend.txt Legend    Bilten                               Precipitation; monthly total                                201802-201803
order_94087_GLBIL_rre150m0_10_data.txt  Data      Bilten                               Precipitation; monthly total                                201804-201805
