Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94063

Filename                                Filetype  Station                              Parameter                                                   Period
order_94063_TGAMR_rzz150mx_4_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201112-201209
order_94063_TGAMR_rzz150mx_4_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201112-201209
order_94063_TGAMR_rzz150mx_5_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201210-201211
order_94063_TGAMR_rzz150mx_5_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201210-201211
order_94063_TGAMR_rzz150mx_6_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201304-201306
order_94063_TGAMR_rzz150mx_6_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201304-201306
order_94063_TGAMR_rzz150mx_7_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201310-201403
order_94063_TGAMR_rzz150mx_7_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201310-201403
order_94063_TGAMR_rzz150mx_8_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201405-201407
order_94063_TGAMR_rzz150mx_8_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201405-201407
order_94063_TGAMR_rzz150mx_9_data.txt   Data      Amriswil                             Precipitation; maximum ten minute total of the month        201408-201504
order_94063_TGAMR_rzz150mx_9_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201408-201504
order_94063_TGAMR_rzz150mx_10_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201508-201510
order_94063_TGAMR_rzz150mx_10_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201508-201510
order_94063_TGAMR_rzz150mx_11_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201511-201606
order_94063_TGAMR_rzz150mx_11_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201511-201606
order_94063_TGAMR_rzz150mx_12_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201607-201706
