 

stn;time;hto000y0
SIA;1953;26
SIA;1954;26
SIA;1955;44
SIA;1956;16
SIA;1957;28
SIA;1958;46
SIA;1959;46
SIA;1960;64
SIA;1961;46
SIA;1962;47
SIA;1963;33
SIA;1964;28
SIA;1965;38
SIA;1966;40
SIA;1967;51
SIA;1968;46
SIA;1969;33
SIA;1970;49
SIA;1971;46
SIA;1972;32
SIA;1973;19
SIA;1974;22
SIA;1975;56
SIA;1976;27
SIA;1977;53
SIA;1978;46
SIA;1979;56
SIA;1980;40
SIA;1981;20
SIA;1982;40
SIA;1983;35
SIA;1984;33
SIA;1985;39
SIA;1986;33
SIA;1987;21
SIA;1988;22
SIA;1989;19
SIA;1990;25
SIA;1991;31
SIA;1992;35
SIA;1993;16
SIA;1994;29
SIA;1995;21
SIA;1996;25
SIA;1997;35
SIA;1998;24
SIA;1999;29
SIA;2000;31
SIA;2001;48
SIA;2002;11
SIA;2003;22
SIA;2004;17
SIA;2005;11
SIA;2006;19
SIA;2007;11
SIA;2008;26
SIA;2009;38
SIA;2010;29
SIA;2011;16
SIA;2012;17
SIA;2013;17
SIA;2014;36
SIA;2015;9
