 

stn;time;tnd00xy0
KLO;1951;12
KLO;1952;24
KLO;1953;22
KLO;1954;23
KLO;1955;22
KLO;1956;46
KLO;1957;15
KLO;1958;20
KLO;1959;12
KLO;1960;20
KLO;1961;19
KLO;1962;34
KLO;1963;53
KLO;1964;41
KLO;1965;19
KLO;1966;18
KLO;1967;21
KLO;1968;29
KLO;1969;42
KLO;1970;29
KLO;1971;37
KLO;1972;24
KLO;1973;24
KLO;1974;3
KLO;1975;15
KLO;1976;30
KLO;1977;13
KLO;1978;31
KLO;1979;20
KLO;1980;25
KLO;1981;25
KLO;1982;15
KLO;1983;20
KLO;1984;11
KLO;1985;40
KLO;1986;33
KLO;1987;37
KLO;1988;6
KLO;1989;22
KLO;1990;19
KLO;1991;30
KLO;1992;22
KLO;1993;22
KLO;1994;9
KLO;1995;25
KLO;1996;29
KLO;1997;19
KLO;1998;24
KLO;1999;24
KLO;2000;7
KLO;2001;12
KLO;2002;14
KLO;2003;27
KLO;2004;9
KLO;2005;24
KLO;2006;19
KLO;2007;14
KLO;2008;6
KLO;2009;24
KLO;2010;41
KLO;2011;10
KLO;2012;20
KLO;2013;23
KLO;2014;2
KLO;2015;5
KLO;2016;5
KLO;2017;15
KLO;2018;9
KLO;2019;6
KLO;2020;3
