 

stn;time;hns000y0
BER;1931;192
BER;1932;48
BER;1933;57
BER;1934;36
BER;1935;126
BER;1936;14
BER;1937;80
BER;1938;71
BER;1939;80
BER;1940;74
BER;1941;73
BER;1942;91
BER;1943;71
BER;1944;84
BER;1945;69
BER;1946;36
BER;1947;109
BER;1948;33
BER;1949;69
BER;1950;54
BER;1951;66
BER;1952;190
BER;1953;62
BER;1954;108
BER;1955;98
BER;1956;35
BER;1957;55
BER;1958;74
BER;1959;46
BER;1960;77
BER;1961;39
BER;1962;109
BER;1963;127
BER;1964;84
BER;1965;130
BER;1966;70
BER;1967;49
BER;1968;92
BER;1969;83
BER;1970;128
BER;1971;48
BER;1972;27
BER;1973;66
BER;1974;20
BER;1975;18
BER;1976;88
BER;1977;83
BER;1978;78
BER;1979;104
BER;1980;71
BER;1981;115
BER;1982;37
BER;1983;18
BER;1984;91
BER;1985;96
BER;1986;107
BER;1987;85
BER;1988;55
BER;1989;7
BER;1990;53
BER;1991;25
BER;1992;10
BER;1993;30
BER;1994;5
BER;1995;50
BER;1996;57
BER;1997;11
BER;1998;55
BER;1999;102
BER;2000;7
BER;2001;18
BER;2002;1
BER;2003;24
BER;2004;71
BER;2005;107
BER;2006;47
BER;2007;33
BER;2008;81
BER;2009;48
BER;2010;133
BER;2011;31
BER;2012;72
BER;2013;88
BER;2014;27
BER;2015;54
BER;2016;25
BER;2017;79
BER;2018;25
BER;2019;65
BER;2020;48
