 

stn;time;rti150yx
DIT;1901;19010615
DIT;1902;19020517
DIT;1903;19030819
DIT;1904;19040625
DIT;1905;19050405
DIT;1906;19060519
DIT;1907;19070310
DIT;1908;19080622
DIT;1909;19090711
DIT;1910;19100119
DIT;1911;19111027
DIT;1912;19120613
DIT;1913;19130510
DIT;1914;19140616
DIT;1915;19150904
DIT;1916;19160609
DIT;1917;19170911
DIT;1918;19180910
DIT;1919;19191002
DIT;1920;19200703
DIT;1921;19210911
DIT;1922;19220108
DIT;1923;19231226
DIT;1924;19240429
DIT;1925;19250811
DIT;1926;19260506
DIT;1927;19270710
DIT;1928;19280930
DIT;1929;19291019
DIT;1930;19301009
DIT;1931;19310520
DIT;1932;19320709
DIT;1933;19330820
DIT;1934;19340909
DIT;1935;19350703
DIT;1936;19360926
DIT;1937;19370526
DIT;1938;19380806
DIT;1939;19390805
DIT;1940;19400522
DIT;1941;19410611
DIT;1942;19420311
DIT;1943;19430919
DIT;1944;19441107
DIT;1945;19450808
DIT;1946;19460613
DIT;1947;19470629
DIT;1948;19480131
DIT;1949;19490830
DIT;1950;19501116
DIT;1951;19510804
DIT;1952;19521110
DIT;1953;19530625
DIT;1954;19540821
DIT;1955;19550607
DIT;1956;19560810
DIT;1957;19570224
DIT;1958;19580819
DIT;1959;19590106
DIT;1960;19600818
DIT;1961;19610202
DIT;1962;19620101
DIT;1963;19630607
DIT;1964;19640504
DIT;1965;19651212
DIT;1966;19660930
DIT;1967;19670607
DIT;1968;19680921
DIT;1969;19690618
DIT;1970;19700221
DIT;1971;19710712
DIT;1972;19721122
DIT;1973;19730623
DIT;1974;19740918
DIT;1975;19750811
DIT;1976;19760726
DIT;1977;19770708
DIT;1978;19780807
DIT;1979;19790311
DIT;1980;19800124
DIT;1981;19810928
DIT;1982;19820108
DIT;1983;19831126
DIT;1984;19841001
DIT;1985;19850606
DIT;1986;19860527
DIT;1987;19870925
DIT;1988;19880312
DIT;1989;19891028
DIT;1990;19900214
DIT;1991;19910511
DIT;1992;19921121
DIT;1993;19930705
DIT;1994;19940518
DIT;1995;19950531
DIT;1996;19960707
DIT;1997;19971221
DIT;1998;19981103
DIT;1999;19990512
DIT;2000;20000920
DIT;2001;20010715
DIT;2002;20021102
DIT;2003;20030830
DIT;2004;20040602
DIT;2005;20050416
DIT;2006;20060409
DIT;2007;20070808
DIT;2008;20080812
DIT;2009;20090705
DIT;2010;20100617
DIT;2011;20110707
DIT;2012;20120830
DIT;2013;20130531
DIT;2014;20140921
DIT;2015;20150501
DIT;2016;20160711
DIT;2017;20170131
DIT;2018;20180823
DIT;2019;20190610
DIT;2020;20200830
