 

stn;time;rre150yx
WIT;1959;36.1
WIT;1960;36.3
WIT;1961;31.6
WIT;1962;39.2
WIT;1963;42.1
WIT;1964;49.4
WIT;1965;36.4
WIT;1966;48.9
WIT;1967;33.7
WIT;1968;51.9
WIT;1969;59.8
WIT;1970;35.6
WIT;1971;38.1
WIT;1972;39.4
WIT;1973;41.5
WIT;1974;29.9
WIT;1975;31.1
WIT;1976;31.1
WIT;1977;73.6
WIT;1978;48.8
WIT;1979;40.2
WIT;1980;41.8
WIT;1981;39.1
WIT;1982;51.5
WIT;1983;30.3
WIT;1984;27.4
WIT;1985;31.8
WIT;1986;45.1
WIT;1987;60.5
WIT;1988;61.4
WIT;1989;34.2
WIT;1990;52.2
WIT;1991;52.5
WIT;1992;54.6
WIT;1993;47.6
WIT;1994;62.8
WIT;1995;46.4
WIT;1996;53.8
WIT;1997;58.7
WIT;1998;45.3
WIT;1999;65.4
WIT;2000;50.6
WIT;2001;47.8
WIT;2002;47.3
WIT;2003;33.8
WIT;2004;37.5
WIT;2005;31.4
WIT;2006;59.6
