 

stn;time;tnd00xy0
LUG;1880;1
LUG;1881;0
LUG;1882;0
LUG;1883;0
LUG;1884;0
LUG;1885;1
LUG;1886;0
LUG;1887;0
LUG;1888;0
LUG;1889;0
LUG;1890;0
LUG;1891;3
LUG;1892;0
LUG;1893;4
LUG;1894;2
LUG;1895;0
LUG;1896;0
LUG;1897;0
LUG;1898;0
LUG;1899;3
LUG;1900;0
LUG;1901;5
LUG;1902;0
LUG;1903;1
LUG;1904;0
LUG;1905;4
LUG;1906;0
LUG;1907;2
LUG;1908;0
LUG;1909;0
LUG;1910;0
LUG;1911;0
LUG;1912;0
LUG;1913;0
LUG;1914;0
LUG;1915;0
LUG;1916;0
LUG;1917;1
LUG;1918;0
LUG;1919;0
LUG;1920;0
LUG;1921;0
LUG;1922;0
LUG;1923;0
LUG;1924;0
LUG;1925;0
LUG;1926;2
LUG;1927;0
LUG;1928;0
LUG;1929;4
LUG;1930;0
LUG;1931;1
LUG;1932;1
LUG;1933;0
LUG;1934;0
LUG;1935;1
LUG;1936;0
LUG;1937;0
LUG;1938;6
LUG;1939;2
LUG;1940;8
LUG;1941;0
LUG;1942;5
LUG;1943;0
LUG;1944;0
LUG;1945;0
LUG;1946;2
LUG;1947;11
LUG;1948;2
LUG;1949;0
LUG;1950;1
LUG;1951;0
LUG;1952;0
LUG;1953;1
LUG;1954;4
LUG;1955;0
LUG;1956;3
LUG;1957;0
LUG;1958;0
LUG;1959;0
LUG;1960;0
LUG;1961;0
LUG;1962;1
LUG;1963;5
LUG;1964;0
LUG;1965;0
LUG;1966;0
LUG;1967;0
LUG;1968;0
LUG;1969;0
LUG;1970;0
LUG;1971;0
LUG;1972;0
LUG;1973;0
LUG;1974;0
LUG;1975;0
LUG;1976;0
LUG;1977;0
LUG;1978;0
LUG;1979;3
LUG;1980;0
LUG;1981;0
LUG;1982;1
LUG;1983;0
LUG;1984;0
LUG;1985;6
LUG;1986;1
LUG;1987;2
LUG;1988;0
LUG;1989;0
LUG;1990;0
LUG;1991;2
LUG;1992;0
LUG;1993;0
LUG;1994;2
LUG;1995;0
LUG;1996;4
LUG;1997;0
LUG;1998;0
LUG;1999;0
LUG;2000;0
LUG;2001;0
LUG;2002;0
LUG;2003;0
LUG;2004;0
LUG;2005;1
LUG;2006;1
LUG;2007;0
LUG;2008;0
LUG;2009;0
LUG;2010;1
LUG;2011;0
LUG;2012;4
LUG;2013;0
LUG;2014;0
LUG;2015;0
LUG;2016;0
LUG;2017;0
LUG;2018;0
LUG;2019;0
LUG;2020;0
