 

stn;time;hns000y0
ELM;1950;659
ELM;1951;673
ELM;1952;834
ELM;1953;281
ELM;1954;632
ELM;1955;386
ELM;1956;471
ELM;1957;170
ELM;1958;658
ELM;1959;598
ELM;1960;340
ELM;1961;407
ELM;1962;811
ELM;1963;369
ELM;1964;413
ELM;1965;651
ELM;1966;775
ELM;1967;716
ELM;1968;849
ELM;1969;538
ELM;1970;908
ELM;1971;397
ELM;1972;311
ELM;1973;679
ELM;1974;790
ELM;1975;520
ELM;1976;415
ELM;1977;486
ELM;1978;569
ELM;1979;519
ELM;1980;551
ELM;1981;811
ELM;1982;451
ELM;1983;413
ELM;1984;490
ELM;1985;387
ELM;1986;506
ELM;1987;296
ELM;1988;539
ELM;1989;176
ELM;1990;423
ELM;1991;366
ELM;1992;389
ELM;1993;393
ELM;1994;314
ELM;1995;592
ELM;1996;356
ELM;1997;229
ELM;1998;392
ELM;1999;957
ELM;2000;411
ELM;2001;414
ELM;2002;180
ELM;2003;423
ELM;2004;483
ELM;2005;460
ELM;2006;326
ELM;2007;391
ELM;2008;434
ELM;2009;558
ELM;2010;381
ELM;2011;354
ELM;2012;492
ELM;2013;499
ELM;2014;358
ELM;2015;315
ELM;2016;389
ELM;2017;567
ELM;2018;273
ELM;2019;464
ELM;2020;299
