 

stn;time;tnd00xy0
DLPFU;1958;42
DLPFU;1959;30
DLPFU;1960;31
DLPFU;1961;29
DLPFU;1962;57
DLPFU;1963;72
DLPFU;1964;56
DLPFU;1965;46
DLPFU;1966;36
DLPFU;1967;38
DLPFU;1968;47
DLPFU;1969;56
DLPFU;1970;56
DLPFU;1971;36
DLPFU;1972;42
DLPFU;1973;44
DLPFU;1974;19
DLPFU;1975;24
DLPFU;1976;41
DLPFU;1977;29
DLPFU;1978;49
DLPFU;1979;33
DLPFU;1980;41
DLPFU;1981;46
DLPFU;1982;24
DLPFU;1983;39
DLPFU;1984;40
DLPFU;1985;52
DLPFU;1986;46
DLPFU;1987;50
DLPFU;1988;18
DLPFU;1989;24
DLPFU;1990;35
DLPFU;1991;46
DLPFU;1992;24
DLPFU;1993;37
DLPFU;1994;21
DLPFU;1995;34
DLPFU;1996;54
DLPFU;1997;27
DLPFU;1998;33
DLPFU;1999;30
DLPFU;2000;16
DLPFU;2001;28
