 

stn;time;rzz150yx
LUG;1981;9.7
LUG;1982;17.1
LUG;1983;16.1
LUG;1984;12.4
LUG;1985;23.7
LUG;1986;28.4
LUG;1987;15.9
LUG;1988;30.3
LUG;1989;11.0
LUG;1990;14.0
LUG;1991;20.7
LUG;1992;20.0
LUG;1993;12.5
LUG;1994;25.1
LUG;1995;12.3
LUG;1996;14.1
LUG;1997;10.6
LUG;1998;12.9
LUG;1999;15.7
LUG;2000;14.7
LUG;2001;14.4
LUG;2002;15.7
LUG;2003;22.7
LUG;2004;11.1
LUG;2005;10.7
LUG;2006;29.6
LUG;2007;19.9
LUG;2008;13.2
LUG;2009;17.1
LUG;2010;11.9
LUG;2011;21.4
LUG;2012;21.7
LUG;2013;14.4
LUG;2014;16.1
LUG;2015;11.0
LUG;2016;16.6
LUG;2017;18.8
LUG;2018;15.2
LUG;2019;14.0
LUG;2020;14.4
