 

stn;time;hns000mx
REC;197312;28
REC;197401;13
REC;197402;42
REC;197403;27
REC;197404;0
REC;197405;0
REC;197406;0
REC;197407;0
REC;197408;0
REC;197409;18
REC;197410;26
REC;197411;33
REC;197412;18
REC;197501;34
REC;197502;4
REC;197503;64
REC;197504;74
REC;197505;2
REC;197506;0
REC;197507;0
REC;197508;0
REC;197509;0
REC;197510;6
REC;197511;39
REC;197512;8
REC;197601;15
REC;197602;15
REC;197603;2
REC;197604;80
REC;197605;0
REC;197606;0
REC;197607;0
REC;197608;0
REC;197609;2
REC;197610;0
REC;197611;20
REC;197612;28
REC;197701;44
REC;197702;12
REC;197703;26
REC;197704;24
REC;197705;0
REC;197706;0
REC;197707;0
REC;197708;0
REC;197709;0
REC;197710;0
REC;197711;27
REC;197712;16
REC;197801;45
REC;197802;58
REC;197803;60
REC;197804;30
REC;197805;0
REC;197806;0
REC;197807;0
REC;197808;0
REC;197809;0
REC;197810;9
REC;197811;3
REC;197812;40
REC;197901;17
REC;197902;18
REC;197903;50
REC;197904;2
REC;197905;0
REC;197906;0
REC;197907;0
REC;197908;0
REC;197909;0
REC;197910;0
REC;197911;40
REC;197912;37
REC;198001;35
REC;198002;91
REC;198003;60
REC;198004;10
REC;198005;0
REC;198006;4
REC;198007;0
REC;198008;0
REC;198009;0
REC;198010;18
REC;198011;6
REC;198012;18
REC;198101;45
REC;198102;14
REC;198103;9
REC;198104;65
REC;198105;10
REC;198106;0
REC;198107;0
REC;198108;0
REC;198109;0
REC;198110;28
REC;198111;50
REC;198112;33
