 

stn;time;rre150y0
DLFEB;1946;1762.1
DLFEB;1947;1559.3
DLFEB;1948;1792.4
DLFEB;1949;1209.4
DLFEB;1950;1962.4
DLFEB;1951;1648.4
DLFEB;1952;2052.0
DLFEB;1953;1236.9
DLFEB;1954;1841.4
DLFEB;1955;1695.6
DLFEB;1956;1896.4
DLFEB;1957;1638.8
DLFEB;1958;2057.4
DLFEB;1959;1364.5
DLFEB;1960;2050.9
DLFEB;1961;2216.5
DLFEB;1962;1698.0
DLFEB;1963;1810.2
DLFEB;1964;1482.9
DLFEB;1965;2517.6
DLFEB;1966;2174.7
DLFEB;1967;1808.9
DLFEB;1968;2110.1
DLFEB;1969;1844.0
DLFEB;1970;2389.5
DLFEB;1971;1345.4
DLFEB;1972;1485.2
DLFEB;1973;1914.1
DLFEB;1974;2020.3
DLFEB;1975;1511.3
DLFEB;1976;1446.6
DLFEB;1977;2228.0
DLFEB;1978;2035.7
DLFEB;1979;2084.4
DLFEB;1980;2185.9
DLFEB;1981;2446.0
DLFEB;1982;2009.6
DLFEB;1983;1660.2
DLFEB;1984;1757.2
DLFEB;1985;1655.0
DLFEB;1986;1960.7
DLFEB;1987;2047.5
DLFEB;1988;2230.2
DLFEB;1989;1588.6
DLFEB;1990;1609.5
DLFEB;1991;1352.3
DLFEB;1992;1417.2
DLFEB;1993;1449.4
DLFEB;1994;1757.9
DLFEB;1995;1668.8
DLFEB;1996;1314.0
DLFEB;1997;1456.6
DLFEB;1998;1489.8
DLFEB;1999;1830.1
DLFEB;2000;1643.8
DLFEB;2001;1935.4
DLFEB;2002;1887.6
DLFEB;2003;1195.9
DLFEB;2004;1389.8
DLFEB;2005;1287.5
DLFEB;2006;1758.8
DLFEB;2007;1768.2
DLFEB;2008;1393.1
DLFEB;2009;1095.5
DLFEB;2010;1188.2
DLFEB;2011;1457.5
DLFEB;2012;2005.8
DLFEB;2013;2126.7
DLFEB;2014;1835.8
DLFEB;2015;1580.5
DLFEB;2016;2039.3
