 

stn;time;tre200y0
SAM;1980;0.2
SAM;1981;1.0
SAM;1982;1.6
SAM;1983;1.4
SAM;1984;0.4
SAM;1985;0.8
SAM;1986;1.1
SAM;1987;1.3
SAM;1988;2.2
SAM;1989;1.9
SAM;1990;1.7
SAM;1991;1.0
SAM;1992;1.7
SAM;1993;1.8
SAM;1994;3.1
SAM;1995;1.9
SAM;1996;1.4
SAM;1997;2.0
SAM;1998;1.9
SAM;1999;1.9
SAM;2000;2.4
SAM;2001;2.2
SAM;2002;3.0
SAM;2003;2.5
SAM;2004;2.2
SAM;2005;1.5
SAM;2006;2.5
SAM;2007;2.8
SAM;2008;2.3
SAM;2009;2.2
SAM;2010;1.5
SAM;2011;2.9
SAM;2012;2.4
SAM;2013;2.1
SAM;2014;3.2
SAM;2015;3.4
SAM;2016;2.8
SAM;2017;2.6
SAM;2018;3.1
SAM;2019;2.8
SAM;2020;3.0
