 

stn;time;tnd00xy0
SHA;1960;19
SHA;1961;17
SHA;1962;25
SHA;1963;53
SHA;1964;35
SHA;1965;17
SHA;1966;17
SHA;1967;20
SHA;1968;29
SHA;1969;37
SHA;1970;29
SHA;1971;29
SHA;1972;21
SHA;1973;17
SHA;1974;4
SHA;1975;14
SHA;1976;27
SHA;1977;11
SHA;1978;31
SHA;1979;16
SHA;1980;30
SHA;1981;21
SHA;1982;16
SHA;1983;25
SHA;1984;17
SHA;1985;41
SHA;1986;35
SHA;1987;34
SHA;1988;5
SHA;1989;24
SHA;1990;18
SHA;1991;35
SHA;1992;24
SHA;1993;20
SHA;1994;7
SHA;1995;25
SHA;1996;31
SHA;1997;21
SHA;1998;22
SHA;1999;25
SHA;2000;8
SHA;2001;12
SHA;2002;16
SHA;2003;28
SHA;2004;14
SHA;2005;28
SHA;2006;20
SHA;2007;16
SHA;2008;7
SHA;2009;26
SHA;2010;42
SHA;2011;11
SHA;2012;19
SHA;2013;20
SHA;2014;2
SHA;2015;9
SHA;2016;7
SHA;2017;17
SHA;2018;11
SHA;2019;9
SHA;2020;5
