 

stn;time;rzz150yx
KLO;1981;15.6
KLO;1982;10.6
KLO;1983;12.1
KLO;1984;4.6
KLO;1985;4.4
KLO;1986;10.4
KLO;1987;5.6
KLO;1988;18.3
KLO;1989;8.2
KLO;1990;8.8
KLO;1991;6.9
KLO;1992;8.3
KLO;1993;12.4
KLO;1994;5.4
KLO;1995;12.9
KLO;1996;7.5
KLO;1997;10.3
KLO;1998;8.0
KLO;1999;8.3
KLO;2000;10.6
KLO;2001;7.7
KLO;2002;10.2
KLO;2003;9.4
KLO;2004;16.8
KLO;2005;10.4
KLO;2006;11.6
KLO;2007;12.5
KLO;2008;15.1
KLO;2009;8.7
KLO;2010;11.6
KLO;2011;14.7
KLO;2012;11.0
KLO;2013;9.8
KLO;2014;6.7
KLO;2015;8.4
KLO;2016;8.0
KLO;2017;8.9
KLO;2018;15.7
KLO;2019;10.6
KLO;2020;4.1
