 

stn;time;tnd00xy0
GUE;1954;149
GUE;1955;128
GUE;1956;146
GUE;1957;98
GUE;1958;124
GUE;1959;120
GUE;1960;153
GUE;1961;111
GUE;1962;159
GUE;1963;138
GUE;1964;129
GUE;1965;162
GUE;1966;141
GUE;1967;134
GUE;1968;123
GUE;1969;148
GUE;1970;159
GUE;1971;119
GUE;1972;139
GUE;1973;137
GUE;1974;160
GUE;1975;140
GUE;1976;145
GUE;1977;135
GUE;1978;139
GUE;1979;155
GUE;1980;149
GUE;1981;132
GUE;1982;141
GUE;1983;105
GUE;1984;152
GUE;1985;141
GUE;1986;134
GUE;1987;140
GUE;1988;120
GUE;1989;84
GUE;1990;109
GUE;1991;137
GUE;1992;116
GUE;1993;108
GUE;1994;107
GUE;1995;134
GUE;1996;138
GUE;1997;112
GUE;1998;124
GUE;1999;123
GUE;2000;126
GUE;2001;129
GUE;2002;113
GUE;2003;116
GUE;2004;120
GUE;2005;119
GUE;2006;114
GUE;2007;111
GUE;2008;123
GUE;2009;132
GUE;2010;158
GUE;2011;93
