 

stn;time;rhs150d0
SMA;18640922;0.0
SMA;18640923;1.1
SMA;18640924;0.0
SMA;18640925;0.0
SMA;18640926;0.0
SMA;18640927;0.0
SMA;18640928;0.0
SMA;18640929;0.0
SMA;18640930;0.0
SMA;18641001;0.0
SMA;18641002;0.0
SMA;18641003;0.0
SMA;18641004;0.0
SMA;18641005;0.0
SMA;18641006;0.0
SMA;18641007;0.0
SMA;18641008;0.0
SMA;18641009;0.2
SMA;18641010;0.0
SMA;18641011;0.0
SMA;18641012;0.0
SMA;18641013;0.7
SMA;18641014;0.0
SMA;18641015;0.1
SMA;18641016;0.3
SMA;18641017;0.0
SMA;18641018;0.0
SMA;18641019;0.0
SMA;18641020;0.0
SMA;18641021;0.7
SMA;18641022;0.5
SMA;18641023;9.3
SMA;18641024;1.4
SMA;18641025;0.4
SMA;18641026;0.0
SMA;18641027;1.9
SMA;18641028;0.0
SMA;18641029;0.0
SMA;18641030;0.0
SMA;18641031;0.0
SMA;18641101;0.0
SMA;18641102;0.1
SMA;18641103;0.0
SMA;18641104;10.5
SMA;18641105;0.0
SMA;18641106;1.0
SMA;18641107;0.0
SMA;18641108;0.0
SMA;18641109;0.0
SMA;18641110;0.0
SMA;18641111;0.0
SMA;18641112;0.0
SMA;18641113;0.0
SMA;18641114;0.1
SMA;18641115;0.5
SMA;18641116;3.4
SMA;18641117;1.4
SMA;18641118;2.6
SMA;18641119;5.4
SMA;18641120;0.0
SMA;18641121;8.7
SMA;18641122;11.9
SMA;18641123;6.7
SMA;18641124;0.3
SMA;18641125;16.4
SMA;18641126;3.5
SMA;18641127;4.8
SMA;18641128;1.0
SMA;18641129;0.3
SMA;18641130;0.0
SMA;18641201;0.0
SMA;18641202;0.4
SMA;18641203;0.0
SMA;18641204;0.0
SMA;18641205;0.0
SMA;18641206;0.0
SMA;18641207;0.0
SMA;18641208;0.0
SMA;18641209;0.0
SMA;18641210;0.0
SMA;18641211;0.0
SMA;18641212;0.0
SMA;18641213;0.0
SMA;18641214;0.0
SMA;18641215;0.0
SMA;18641216;1.3
SMA;18641217;0.5
SMA;18641218;0.0
SMA;18641219;0.0
SMA;18641220;0.0
SMA;18641221;1.7
SMA;18641222;0.0
SMA;18641223;0.0
SMA;18641224;0.0
SMA;18641225;0.0
SMA;18641226;0.0
SMA;18641227;0.0
SMA;18641228;0.0
SMA;18641229;0.0
SMA;18641230;0.0
SMA;18641231;0.0
SMA;18650101;0.0
SMA;18650102;0.0
SMA;18650103;0.0
SMA;18650104;0.0
SMA;18650105;0.0
SMA;18650106;0.5
SMA;18650107;0.0
SMA;18650108;0.0
SMA;18650109;0.0
SMA;18650110;0.0
SMA;18650111;0.0
SMA;18650112;0.0
SMA;18650113;0.0
SMA;18650114;9.8
SMA;18650115;1.2
SMA;18650116;2.4
SMA;18650117;0.0
SMA;18650118;1.6
SMA;18650119;2.0
SMA;18650120;0.5
SMA;18650121;19.2
SMA;18650122;9.4
SMA;18650123;0.4
SMA;18650124;0.1
SMA;18650125;1.6
SMA;18650126;7.2
SMA;18650127;6.9
SMA;18650128;0.7
SMA;18650129;0.0
SMA;18650130;0.2
SMA;18650131;0.0
SMA;18650201;4.2
SMA;18650202;5.2
SMA;18650203;5.2
SMA;18650204;7.3
SMA;18650205;8.7
SMA;18650206;0.0
SMA;18650207;0.0
SMA;18650208;0.0
SMA;18650209;10.0
SMA;18650210;1.5
SMA;18650211;1.3
SMA;18650212;0.0
SMA;18650213;0.0
SMA;18650214;0.0
SMA;18650215;0.0
SMA;18650216;0.0
SMA;18650217;2.0
SMA;18650218;1.0
SMA;18650219;4.6
SMA;18650220;0.0
SMA;18650221;0.8
SMA;18650222;0.0
SMA;18650223;0.0
SMA;18650224;0.0
SMA;18650225;1.0
SMA;18650226;0.0
SMA;18650227;0.0
SMA;18650228;0.0
SMA;18650301;5.2
SMA;18650302;3.8
SMA;18650303;9.8
SMA;18650304;0.0
SMA;18650305;0.0
SMA;18650306;0.9
SMA;18650307;9.5
SMA;18650308;1.8
SMA;18650309;0.2
SMA;18650310;3.4
SMA;18650311;0.8
SMA;18650312;0.0
SMA;18650313;0.0
SMA;18650314;0.0
SMA;18650315;0.0
SMA;18650316;0.1
SMA;18650317;0.5
SMA;18650318;0.0
SMA;18650319;0.0
SMA;18650320;0.0
SMA;18650321;0.0
SMA;18650322;0.0
SMA;18650323;2.2
SMA;18650324;1.6
SMA;18650325;0.4
SMA;18650326;0.0
SMA;18650327;8.8
SMA;18650328;0.2
SMA;18650329;0.0
SMA;18650330;2.7
SMA;18650331;0.0
SMA;18650401;3.9
SMA;18650402;0.0
SMA;18650403;0.0
SMA;18650404;0.0
SMA;18650405;0.0
SMA;18650406;0.0
SMA;18650407;0.0
SMA;18650408;0.0
SMA;18650409;0.0
SMA;18650410;0.0
SMA;18650411;0.0
SMA;18650412;0.0
SMA;18650413;0.0
SMA;18650414;0.0
SMA;18650415;0.0
SMA;18650416;0.0
SMA;18650417;0.0
SMA;18650418;0.0
SMA;18650419;0.0
SMA;18650420;0.0
SMA;18650421;0.0
SMA;18650422;0.0
SMA;18650423;0.0
SMA;18650424;0.0
SMA;18650425;0.0
SMA;18650426;0.0
SMA;18650427;0.0
SMA;18650428;0.0
SMA;18650429;0.0
SMA;18650430;0.0
SMA;18650501;0.0
SMA;18650502;0.0
SMA;18650503;0.0
SMA;18650504;0.0
SMA;18650505;0.0
SMA;18650506;0.0
SMA;18650507;2.9
SMA;18650508;4.6
SMA;18650509;0.0
SMA;18650510;0.0
SMA;18650511;3.8
SMA;18650512;1.2
SMA;18650513;0.0
SMA;18650514;0.0
SMA;18650515;4.7
