Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94064

Filename                                Filetype  Station                              Parameter                                                   Period
order_94064_TAE_rzz150mx_1_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        198012-201110
order_94064_TAE_rzz150mx_1_legend.txt   Legend    Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        198012-201110
order_94064_TAE_rzz150mx_2_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201111-201412
order_94064_TAE_rzz150mx_2_legend.txt   Legend    Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201111-201412
order_94064_TAE_rzz150mx_3_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201501-201907
order_94064_TAE_rzz150mx_3_legend.txt   Legend    Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201501-201907
order_94064_TAE_rzz150mx_4_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201908-202103
order_94064_TAE_rzz150mx_4_legend.txt   Legend    Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        201908-202103
order_94064_COM_rzz150mx_1_data.txt     Data      Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        198801-200609
order_94064_COM_rzz150mx_1_legend.txt   Legend    Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        198801-200609
order_94064_COM_rzz150mx_2_data.txt     Data      Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        200610-200706
order_94064_COM_rzz150mx_2_legend.txt   Legend    Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        200610-200706
order_94064_COM_rzz150mx_3_data.txt     Data      Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        200707-201006
order_94064_COM_rzz150mx_3_legend.txt   Legend    Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        200707-201006
order_94064_COM_rzz150mx_4_data.txt     Data      Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        201007-201103
order_94064_COM_rzz150mx_4_legend.txt   Legend    Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        201007-201103
order_94064_COM_rzz150mx_5_data.txt     Data      Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        201105-202103
order_94064_COM_rzz150mx_5_legend.txt   Legend    Acquarossa / Comprovasco             Precipitation; maximum ten minute total of the month        201105-202103
order_94064_DLALH_rzz150mx_1_data.txt   Data      Altheim                              Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLALH_rzz150mx_1_legend.txt Legend    Altheim                              Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLALH_rzz150mx_2_data.txt   Data      Altheim                              Precipitation; maximum ten minute total of the month        201609-202006
order_94064_DLALH_rzz150mx_2_legend.txt Legend    Altheim                              Precipitation; maximum ten minute total of the month        201609-202006
order_94064_DLALH_rzz150mx_3_data.txt   Data      Altheim                              Precipitation; maximum ten minute total of the month        202007-202103
order_94064_DLALH_rzz150mx_3_legend.txt Legend    Altheim                              Precipitation; maximum ten minute total of the month        202007-202103
order_94064_DLAUL_rzz150mx_1_data.txt   Data      Aulendorf / Blönried                 Precipitation; maximum ten minute total of the month        202102-202103
order_94064_DLAUL_rzz150mx_1_legend.txt Legend    Aulendorf / Blönried                 Precipitation; maximum ten minute total of the month        202102-202103
order_94064_VDBAU_rzz150mx_1_data.txt   Data      Baulmes                              Precipitation; maximum ten minute total of the month        201212-202103
order_94064_VDBAU_rzz150mx_1_legend.txt Legend    Baulmes                              Precipitation; maximum ten minute total of the month        201212-202103
order_94064_VDBER_rzz150mx_1_data.txt   Data      Bercher                              Precipitation; maximum ten minute total of the month        201212-202103
order_94064_VDBER_rzz150mx_1_legend.txt Legend    Bercher                              Precipitation; maximum ten minute total of the month        201212-202103
order_94064_MMBDK_rzz150mx_1_data.txt   Data      Bergdietikon                         Precipitation; maximum ten minute total of the month        201312-201404
order_94064_MMBDK_rzz150mx_1_legend.txt Legend    Bergdietikon                         Precipitation; maximum ten minute total of the month        201312-201404
order_94064_MMBDK_rzz150mx_2_data.txt   Data      Bergdietikon                         Precipitation; maximum ten minute total of the month        201405-201408
order_94064_MMBDK_rzz150mx_2_legend.txt Legend    Bergdietikon                         Precipitation; maximum ten minute total of the month        201405-201408
order_94064_BER_rzz150mx_1_data.txt     Data      Bern / Zollikofen                    Precipitation; maximum ten minute total of the month        198012-202103
order_94064_BER_rzz150mx_1_legend.txt   Legend    Bern / Zollikofen                    Precipitation; maximum ten minute total of the month        198012-202103
order_94064_NABBER_rzz150mx_1_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199102-199107
order_94064_NABBER_rzz150mx_1_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199102-199107
order_94064_NABBER_rzz150mx_2_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199111-199210
order_94064_NABBER_rzz150mx_2_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199111-199210
order_94064_NABBER_rzz150mx_3_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199211-199304
order_94064_NABBER_rzz150mx_3_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199211-199304
order_94064_NABBER_rzz150mx_4_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199305-199307
order_94064_NABBER_rzz150mx_4_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199305-199307
order_94064_NABBER_rzz150mx_5_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199310-199312
order_94064_NABBER_rzz150mx_5_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199310-199312
order_94064_NABBER_rzz150mx_6_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199503-199504
order_94064_NABBER_rzz150mx_6_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199503-199504
order_94064_NABBER_rzz150mx_7_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199505-199512
order_94064_NABBER_rzz150mx_7_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199505-199512
order_94064_NABBER_rzz150mx_8_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199601-199602
order_94064_NABBER_rzz150mx_8_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199601-199602
order_94064_NABBER_rzz150mx_9_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199605-199612
order_94064_NABBER_rzz150mx_9_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199605-199612
order_94064_NABBER_rzz150mx_10_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199701-199706
order_94064_NABBER_rzz150mx_10_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        199701-199706
order_94064_NABBER_rzz150mx_11_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200012-200104
order_94064_NABBER_rzz150mx_11_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200012-200104
order_94064_NABBER_rzz150mx_12_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200105-200106
order_94064_NABBER_rzz150mx_12_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200105-200106
order_94064_NABBER_rzz150mx_13_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200107-200209
order_94064_NABBER_rzz150mx_13_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200107-200209
order_94064_NABBER_rzz150mx_14_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200210-200406
order_94064_NABBER_rzz150mx_14_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200210-200406
order_94064_NABBER_rzz150mx_15_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200407-200505
order_94064_NABBER_rzz150mx_15_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200407-200505
order_94064_NABBER_rzz150mx_16_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200506-200907
order_94064_NABBER_rzz150mx_16_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200506-200907
order_94064_NABBER_rzz150mx_17_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200908-201706
order_94064_NABBER_rzz150mx_17_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        200908-201706
order_94064_NABBER_rzz150mx_18_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        201708-201709
order_94064_NABBER_rzz150mx_18_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        201708-201709
order_94064_NABBER_rzz150mx_19_data.txt Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        201711-202103
order_94064_NABBER_rzz150mx_19_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        201711-202103
order_94064_BRZ_rzz150mx_1_data.txt     Data      Brienz                               Precipitation; maximum ten minute total of the month        201206-202103
order_94064_BRZ_rzz150mx_1_legend.txt   Legend    Brienz                               Precipitation; maximum ten minute total of the month        201206-202103
order_94064_IYBRI_rzz150mx_1_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum ten minute total of the month        201111-201902
order_94064_IYBRI_rzz150mx_1_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum ten minute total of the month        201111-201902
order_94064_IYBRI_rzz150mx_2_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum ten minute total of the month        201905-201907
order_94064_IYBRI_rzz150mx_2_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum ten minute total of the month        201905-201907
order_94064_IYBRI_rzz150mx_3_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum ten minute total of the month        201909-201912
