 

stn;time;rhh150yx
PIO;1981;19.3
PIO;1982;15.0
PIO;1983;17.3
PIO;1984;11.4
PIO;1985;18.2
PIO;1986;17.9
PIO;1987;13.8
PIO;1988;11.9
PIO;1989;28.6
PIO;1990;10.9
PIO;1991;27.4
PIO;1992;19.3
PIO;1993;17.9
PIO;1994;11.9
PIO;1995;21.5
PIO;1996;11.3
PIO;1997;40.6
PIO;1998;16.0
PIO;1999;11.5
PIO;2000;21.0
PIO;2001;19.7
PIO;2002;18.6
PIO;2003;32.9
PIO;2004;11.3
PIO;2005;21.9
PIO;2006;12.0
PIO;2007;21.4
PIO;2008;18.9
PIO;2009;20.5
PIO;2010;34.9
PIO;2011;22.3
PIO;2012;30.6
PIO;2013;26.9
PIO;2014;18.2
PIO;2015;31.1
PIO;2016;10.9
PIO;2017;19.2
PIO;2018;22.0
PIO;2019;26.6
PIO;2020;18.5
