Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95465

Filename                                Filetype  Station                              Parameter                                                   Period
order_95465_KADER_rre002mx_2_data.txt   Data      Basel / Dreispitz                    Precipitation; maximum 2-day total of the month             202103-202105
order_95465_KADER_rre002mx_2_legend.txt Legend    Basel / Dreispitz                    Precipitation; maximum 2-day total of the month             202103-202105
order_95465_BSS_rre002mx_1_data.txt     Data      Basel-Stadt                          Precipitation; maximum 2-day total of the month             197112-198612
order_95465_BSS_rre002mx_1_legend.txt   Legend    Basel-Stadt                          Precipitation; maximum 2-day total of the month             197112-198612
order_95465_BLZ_rre002mx_1_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             186312-187403
order_95465_BLZ_rre002mx_1_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             186312-187403
order_95465_BLZ_rre002mx_2_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             188304-188307
order_95465_BLZ_rre002mx_2_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             188304-188307
order_95465_BLZ_rre002mx_3_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             188708-189008
order_95465_BLZ_rre002mx_3_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             188708-189008
order_95465_BLZ_rre002mx_4_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             189010-189412
order_95465_BLZ_rre002mx_4_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             189010-189412
order_95465_BLZ_rre002mx_5_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             189502-189603
order_95465_BLZ_rre002mx_5_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             189502-189603
order_95465_BLZ_rre002mx_6_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             189612-189712
order_95465_BLZ_rre002mx_6_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             189612-189712
order_95465_BLZ_rre002mx_7_data.txt     Data      Bellinzona                           Precipitation; maximum 2-day total of the month             189804-202105
