Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94066

Filename                                Filetype  Station                              Parameter                                                   Period
order_94066_MMDAS_rzz150mx_7_data.txt   Data      Därstetten                           Precipitation; maximum ten minute total of the month        201412-201506
order_94066_MMDAS_rzz150mx_7_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201412-201506
order_94066_MMDAS_rzz150mx_8_data.txt   Data      Därstetten                           Precipitation; maximum ten minute total of the month        201507-201605
order_94066_MMDAS_rzz150mx_8_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201507-201605
order_94066_MMDAS_rzz150mx_9_data.txt   Data      Därstetten                           Precipitation; maximum ten minute total of the month        201607-201804
order_94066_MMDAS_rzz150mx_9_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201607-201804
order_94066_MMDAS_rzz150mx_10_data.txt  Data      Därstetten                           Precipitation; maximum ten minute total of the month        201805-201808
order_94066_MMDAS_rzz150mx_10_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201805-201808
order_94066_MMDAS_rzz150mx_11_data.txt  Data      Därstetten                           Precipitation; maximum ten minute total of the month        201809-201811
order_94066_MMDAS_rzz150mx_11_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201809-201811
order_94066_MMDAS_rzz150mx_12_data.txt  Data      Därstetten                           Precipitation; maximum ten minute total of the month        201812-201911
order_94066_MMDAS_rzz150mx_12_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201812-201911
order_94066_MMDAS_rzz150mx_13_data.txt  Data      Därstetten                           Precipitation; maximum ten minute total of the month        201912-202103
order_94066_MMDAS_rzz150mx_13_legend.txt Legend    Därstetten                           Precipitation; maximum ten minute total of the month        201912-202103
order_94066_EGR_rzz150mx_1_data.txt     Data      Eggersriet                           Precipitation; maximum ten minute total of the month        201907-202103
order_94066_EGR_rzz150mx_1_legend.txt   Legend    Eggersriet                           Precipitation; maximum ten minute total of the month        201907-202103
order_94066_SGEGR_rzz150mx_1_data.txt   Data      Eggersriet                           Precipitation; maximum ten minute total of the month        199312-201404
order_94066_SGEGR_rzz150mx_1_legend.txt Legend    Eggersriet                           Precipitation; maximum ten minute total of the month        199312-201404
order_94066_SGEGR_rzz150mx_2_data.txt   Data      Eggersriet                           Precipitation; maximum ten minute total of the month        201405-202012
order_94066_SGEGR_rzz150mx_2_legend.txt Legend    Eggersriet                           Precipitation; maximum ten minute total of the month        201405-202012
order_94066_EIN_rzz150mx_1_data.txt     Data      Einsiedeln                           Precipitation; maximum ten minute total of the month        201203-201612
order_94066_EIN_rzz150mx_1_legend.txt   Legend    Einsiedeln                           Precipitation; maximum ten minute total of the month        201203-201612
order_94066_EIN_rzz150mx_2_data.txt     Data      Einsiedeln                           Precipitation; maximum ten minute total of the month        201701-202103
order_94066_EIN_rzz150mx_2_legend.txt   Legend    Einsiedeln                           Precipitation; maximum ten minute total of the month        201701-202103
order_94066_ENT_rzz150mx_1_data.txt     Data      Entlebuch                            Precipitation; maximum ten minute total of the month        201401-201811
order_94066_ENT_rzz150mx_1_legend.txt   Legend    Entlebuch                            Precipitation; maximum ten minute total of the month        201401-201811
order_94066_ENT_rzz150mx_2_data.txt     Data      Entlebuch                            Precipitation; maximum ten minute total of the month        201812-202103
order_94066_ENT_rzz150mx_2_legend.txt   Legend    Entlebuch                            Precipitation; maximum ten minute total of the month        201812-202103
order_94066_FAI_rzz150mx_1_data.txt     Data      Faido                                Precipitation; maximum ten minute total of the month        201403-201412
order_94066_FAI_rzz150mx_1_legend.txt   Legend    Faido                                Precipitation; maximum ten minute total of the month        201403-201412
order_94066_FAI_rzz150mx_2_data.txt     Data      Faido                                Precipitation; maximum ten minute total of the month        201501-202103
order_94066_FAI_rzz150mx_2_legend.txt   Legend    Faido                                Precipitation; maximum ten minute total of the month        201501-202103
order_94066_FEY_rzz150mx_1_data.txt     Data      Fey                                  Precipitation; maximum ten minute total of the month        198904-200503
order_94066_FEY_rzz150mx_1_legend.txt   Legend    Fey                                  Precipitation; maximum ten minute total of the month        198904-200503
order_94066_FEY_rzz150mx_2_data.txt     Data      Fey                                  Precipitation; maximum ten minute total of the month        200505-200509
order_94066_FEY_rzz150mx_2_legend.txt   Legend    Fey                                  Precipitation; maximum ten minute total of the month        200505-200509
order_94066_GLFIL_rzz150mx_1_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201309-201404
order_94066_GLFIL_rzz150mx_1_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201309-201404
