 

stn;time;hns000y0
MER;1982;202
MER;1983;138
MER;1984;211
MER;1985;260
MER;1986;320
MER;1987;200
MER;1988;260
MER;1989;44
MER;1990;126
MER;1991;46
MER;1992;71
MER;1993;82
MER;1994;46
MER;1995;141
MER;1996;83
MER;1997;18
MER;1998;82
MER;1999;366
MER;2000;70
MER;2001;140
MER;2002;28
MER;2003;155
MER;2004;89
MER;2005;229
MER;2006;73
MER;2007;93
MER;2008;176
MER;2009;149
MER;2010;159
MER;2011;87
MER;2012;185
MER;2013;176
MER;2014;71
MER;2015;118
MER;2016;87
MER;2017;145
MER;2018;39
MER;2019;125
MER;2020;74
