 

stn;time;rs1000y0
SUS;1915;0
SUS;1916;0
SUS;1917;0
SUS;1918;0
SUS;1919;0
SUS;1920;0
SUS;1921;0
SUS;1922;0
SUS;1923;0
SUS;1924;0
SUS;1925;0
SUS;1926;0
SUS;1927;0
SUS;1928;0
SUS;1929;0
SUS;1930;0
SUS;1931;0
SUS;1932;0
SUS;1933;0
SUS;1934;0
SUS;1935;0
SUS;1936;0
SUS;1937;0
SUS;1938;0
SUS;1939;0
SUS;1940;0
SUS;1941;0
SUS;1942;0
SUS;1943;0
SUS;1944;0
SUS;1945;0
SUS;1946;0
SUS;1947;0
SUS;1948;0
SUS;1949;0
SUS;1950;0
SUS;1951;0
SUS;1952;0
SUS;1953;0
SUS;1954;0
SUS;1955;0
SUS;1956;0
SUS;1957;0
SUS;1958;0
SUS;1959;0
SUS;1960;0
SUS;1961;0
SUS;1962;0
SUS;1963;0
SUS;1964;0
SUS;1965;0
SUS;1966;0
SUS;1967;0
SUS;1968;0
SUS;1969;0
SUS;1970;0
SUS;1971;0
SUS;1972;0
SUS;1973;0
SUS;1974;0
SUS;1975;0
SUS;1976;0
SUS;1977;0
SUS;1978;0
SUS;1979;0
SUS;1980;0
SUS;1981;0
SUS;1982;0
SUS;1983;0
SUS;1984;0
SUS;1985;0
SUS;1986;0
SUS;1987;0
SUS;1988;0
SUS;1989;0
SUS;1990;0
SUS;1991;0
SUS;1992;0
SUS;1993;0
SUS;1994;0
SUS;1995;0
SUS;1996;0
SUS;1997;0
SUS;1998;0
SUS;1999;0
SUS;2000;0
SUS;2001;0
SUS;2002;0
SUS;2003;0
SUS;2004;0
SUS;2005;0
SUS;2006;0
SUS;2007;0
SUS;2008;0
SUS;2009;0
SUS;2010;0
SUS;2011;0
SUS;2012;0
SUS;2013;0
SUS;2014;0
SUS;2015;0
SUS;2016;0
SUS;2017;0
SUS;2018;0
SUS;2019;0
SUS;2020;0
