 

stn;time;tre200y0
GLA;1864;7.1
GLA;1865;8.4
GLA;1866;8.9
GLA;1867;8.4
GLA;1868;9.2
GLA;1869;8.3
GLA;1870;7.1
GLA;1871;6.6
GLA;1872;9.2
GLA;1873;8.4
GLA;1874;7.8
GLA;1875;7.8
GLA;1876;8.5
GLA;1877;8.6
GLA;1878;7.7
GLA;1879;6.5
GLA;1880;8.0
GLA;1881;7.7
GLA;1882;7.7
GLA;1883;7.5
GLA;1884;7.8
GLA;1885;7.6
GLA;1886;7.6
GLA;1887;6.3
GLA;1888;6.6
GLA;1889;6.3
GLA;1890;6.8
GLA;1891;6.4
GLA;1892;8.9
GLA;1893;9.0
GLA;1894;8.5
GLA;1895;7.5
GLA;1896;6.9
GLA;1897;8.4
GLA;1898;8.6
GLA;1899;8.5
GLA;1900;8.9
GLA;1901;7.3
GLA;1902;7.7
GLA;1903;7.7
GLA;1904;8.3
GLA;1905;7.7
GLA;1906;7.6
GLA;1907;7.5
GLA;1908;7.2
GLA;1909;7.1
GLA;1910;8.0
GLA;1911;8.4
GLA;1912;7.9
GLA;1913;8.3
GLA;1914;7.7
GLA;1915;7.7
GLA;1916;8.3
GLA;1917;7.2
GLA;1918;8.1
GLA;1919;7.1
GLA;1920;8.8
GLA;1921;8.7
GLA;1922;7.2
GLA;1923;8.4
GLA;1924;7.4
GLA;1925;7.9
GLA;1926;8.7
GLA;1927;8.0
GLA;1928;8.5
GLA;1929;7.4
GLA;1930;8.9
GLA;1931;7.0
GLA;1932;7.6
GLA;1933;7.2
GLA;1934;8.4
GLA;1935;7.7
GLA;1936;8.2
GLA;1937;8.4
GLA;1938;7.4
GLA;1939;7.7
GLA;1940;6.9
GLA;1941;7.4
GLA;1942;7.7
GLA;1943;8.6
GLA;1944;7.6
GLA;1945;8.2
GLA;1946;8.3
GLA;1947;8.9
GLA;1948;8.5
GLA;1949;8.5
GLA;1950;8.3
GLA;1951;8.6
GLA;1952;8.2
GLA;1953;8.3
GLA;1954;8.1
GLA;1955;8.0
GLA;1956;7.0
GLA;1957;8.6
GLA;1958;8.4
GLA;1959;9.0
GLA;1960;8.7
GLA;1961;9.3
GLA;1962;7.6
GLA;1963;7.4
GLA;1964;8.4
GLA;1965;7.5
GLA;1966;8.7
GLA;1967;8.5
GLA;1968;8.0
GLA;1969;7.7
GLA;1970;7.6
GLA;1971;8.0
GLA;1972;8.3
GLA;1973;8.2
GLA;1974;8.8
GLA;1975;8.4
GLA;1976;8.3
GLA;1977;8.6
GLA;1978;7.8
GLA;1979;8.5
GLA;1980;7.6
GLA;1981;7.9
GLA;1982;8.8
GLA;1983;8.8
GLA;1984;7.9
GLA;1985;7.8
GLA;1986;8.1
GLA;1987;7.9
GLA;1988;8.6
GLA;1989;8.7
GLA;1990;9.0
GLA;1991;8.2
GLA;1992;9.0
GLA;1993;8.7
GLA;1994;10.1
GLA;1995;8.6
GLA;1996;8.0
GLA;1997;9.0
GLA;1998;8.9
GLA;1999;8.8
GLA;2000;9.7
GLA;2001;9.1
GLA;2002;9.7
GLA;2003;9.6
GLA;2004;8.8
GLA;2005;8.4
GLA;2006;9.1
GLA;2007;9.4
GLA;2008;9.3
GLA;2009;9.4
GLA;2010;8.4
GLA;2011;9.9
GLA;2012;9.2
GLA;2013;8.7
GLA;2014;10.2
GLA;2015;9.9
GLA;2016;9.6
GLA;2017;9.4
GLA;2018;10.7
GLA;2019;10.1
GLA;2020;10.2
