 

stn;time;hto000y0
GOH;1931;84
GOH;1932;74
GOH;1933;52
GOH;1934;95
GOH;1935;113
GOH;1936;148
GOH;1937;84
GOH;1938;52
GOH;1939;98
GOH;1940;57
GOH;1941;104
GOH;1942;34
GOH;1943;49
GOH;1944;60
GOH;1945;46
GOH;1946;99
GOH;1947;45
GOH;1948;57
GOH;1949;22
GOH;1950;75
GOH;1951;172
GOH;1952;87
GOH;1953;34
GOH;1954;58
GOH;1955;113
GOH;1956;89
GOH;1957;71
GOH;1958;107
GOH;1959;106
GOH;1960;153
GOH;1961;131
GOH;1962;64
GOH;1963;77
GOH;1964;83
GOH;1965;57
GOH;1966;112
GOH;1967;124
GOH;1968;119
GOH;1969;90
GOH;1970;127
