 

stn;time;tre200y0
JUN;1933;-7.3
JUN;1934;-6.3
JUN;1935;-8.1
JUN;1936;-7.5
JUN;1937;-7.7
JUN;1938;-7.9
JUN;1939;-8.5
JUN;1940;-8.8
JUN;1941;-8.9
JUN;1942;-8.0
JUN;1943;-7.5
JUN;1944;-8.8
JUN;1945;-7.8
JUN;1946;-7.6
JUN;1947;-7.2
JUN;1948;-6.9
JUN;1949;-7.2
JUN;1950;-7.4
JUN;1951;-7.9
JUN;1952;-8.6
JUN;1953;-7.0
JUN;1954;-8.5
JUN;1955;-8.5
JUN;1956;-9.3
JUN;1957;-7.5
JUN;1958;-7.6
JUN;1959;-7.2
JUN;1960;-8.7
JUN;1961;-7.1
JUN;1962;-8.6
JUN;1963;-8.0
JUN;1964;-7.1
JUN;1965;-9.1
JUN;1966;-8.2
JUN;1967;-7.6
JUN;1968;-8.1
JUN;1969;-8.2
JUN;1970;-8.8
JUN;1971;-7.5
JUN;1972;-8.1
JUN;1973;-8.2
JUN;1974;-8.8
JUN;1975;-7.6
JUN;1976;-8.4
JUN;1977;-8.0
JUN;1978;-8.3
JUN;1979;-8.2
JUN;1980;-8.9
JUN;1981;-7.4
JUN;1982;-7.1
JUN;1983;-6.9
JUN;1984;-8.6
JUN;1985;-8.0
JUN;1986;-7.8
JUN;1987;-7.6
JUN;1988;-7.4
JUN;1989;-6.3
JUN;1990;-7.0
JUN;1991;-7.1
JUN;1992;-6.6
JUN;1993;-7.6
JUN;1994;-6.7
JUN;1995;-7.3
JUN;1996;-8.0
JUN;1997;-6.5
JUN;1998;-7.0
JUN;1999;-7.2
JUN;2000;-6.7
JUN;2001;-7.1
JUN;2002;-6.6
JUN;2003;-6.2
JUN;2004;-6.7
JUN;2005;-7.0
JUN;2006;-6.2
JUN;2007;-6.5
JUN;2008;-6.8
JUN;2009;-7.2
JUN;2010;-8.0
JUN;2011;-5.8
JUN;2012;-6.7
JUN;2013;-7.3
JUN;2014;-6.5
JUN;2015;-5.7
JUN;2016;-6.3
JUN;2017;-6.5
JUN;2018;-5.8
JUN;2019;-6.1
JUN;2020;-5.4
