 

stn;time;rzz150mx
MMUNS;201703;1.0
MMUNS;201704;1.0
MMUNS;201705;2.4
MMUNS;201706;16.2
MMUNS;201707;10.2
MMUNS;201708;7.0
MMUNS;201709;9.6
MMUNS;201710;5.6
MMUNS;201711;4.6
MMUNS;201712;1.2
MMUNS;201801;5.6
MMUNS;201802;0.8
MMUNS;201803;2.0
MMUNS;201804;1.6
MMUNS;201805;1.8
MMUNS;201806;8.2
MMUNS;201807;5.8
MMUNS;201808;5.2
MMUNS;201809;4.0
MMUNS;201810;5.2
MMUNS;201811;0.2
