 

stn;time;rhs150d0
BER;18640101;4.3
BER;18640102;4.5
BER;18640103;0.4
BER;18640104;0.0
BER;18640105;0.0
BER;18640106;0.0
BER;18640107;0.0
BER;18640108;0.0
BER;18640109;0.0
BER;18640110;0.0
BER;18640111;0.0
BER;18640112;0.0
BER;18640113;0.0
BER;18640114;0.0
BER;18640115;0.0
BER;18640116;0.0
BER;18640117;0.0
BER;18640118;0.0
BER;18640119;0.0
BER;18640120;0.0
BER;18640121;0.0
BER;18640122;0.0
BER;18640123;0.0
BER;18640124;0.6
BER;18640125;4.9
BER;18640126;0.0
BER;18640127;0.0
BER;18640128;0.0
BER;18640129;6.6
BER;18640130;1.2
BER;18640131;0.0
BER;18640201;0.0
BER;18640202;0.0
BER;18640203;0.0
BER;18640204;5.9
BER;18640205;1.2
BER;18640206;0.5
BER;18640207;0.7
BER;18640208;2.9
BER;18640209;0.0
BER;18640210;0.0
BER;18640211;0.0
BER;18640212;0.0
BER;18640213;4.7
BER;18640214;0.0
BER;18640215;0.0
BER;18640216;0.0
BER;18640217;0.0
BER;18640218;10.1
BER;18640219;0.0
BER;18640220;0.0
BER;18640221;0.0
BER;18640222;0.5
BER;18640223;0.0
BER;18640224;0.0
BER;18640225;0.0
BER;18640226;0.0
BER;18640227;0.0
BER;18640228;0.0
BER;18640229;0.0
BER;18640301;1.4
BER;18640302;0.0
BER;18640303;3.1
BER;18640304;0.0
BER;18640305;0.0
BER;18640306;3.3
BER;18640307;0.0
BER;18640308;0.0
BER;18640309;4.5
BER;18640310;11.5
BER;18640311;0.0
BER;18640312;2.9
BER;18640313;0.0
BER;18640314;0.0
BER;18640315;0.0
BER;18640316;0.0
BER;18640317;0.0
BER;18640318;0.0
BER;18640319;0.0
BER;18640320;0.0
BER;18640321;3.1
BER;18640322;1.0
BER;18640323;18.3
BER;18640324;1.4
BER;18640325;0.0
BER;18640326;2.7
BER;18640327;0.0
BER;18640328;2.2
BER;18640329;0.0
BER;18640330;0.8
BER;18640331;0.7
BER;18640401;0.0
BER;18640402;3.8
BER;18640403;0.0
BER;18640404;1.3
BER;18640405;0.0
BER;18640406;8.9
BER;18640407;0.0
BER;18640408;0.0
BER;18640409;0.0
BER;18640410;0.0
BER;18640411;0.0
BER;18640412;0.0
BER;18640413;0.0
BER;18640414;0.0
BER;18640415;0.0
BER;18640416;1.4
BER;18640417;23.1
BER;18640418;0.0
BER;18640419;0.0
BER;18640420;0.0
BER;18640421;0.0
BER;18640422;0.0
BER;18640423;0.0
BER;18640424;0.0
BER;18640425;0.0
BER;18640426;0.0
BER;18640427;0.0
BER;18640428;0.0
BER;18640429;15.1
BER;18640430;1.5
BER;18640501;0.0
BER;18640502;0.0
BER;18640503;12.9
BER;18640504;5.8
BER;18640505;10.4
BER;18640506;5.6
BER;18640507;0.0
BER;18640508;0.0
BER;18640509;2.2
BER;18640510;0.1
BER;18640511;0.0
BER;18640512;11.9
BER;18640513;0.0
BER;18640514;0.0
BER;18640515;17.5
BER;18640516;0.0
BER;18640517;0.0
BER;18640518;0.0
BER;18640519;0.0
BER;18640520;0.0
BER;18640521;0.0
BER;18640522;0.0
BER;18640523;0.0
BER;18640524;2.0
BER;18640525;0.0
BER;18640526;0.0
BER;18640527;0.0
BER;18640528;0.0
BER;18640529;0.0
BER;18640530;0.0
BER;18640531;0.0
BER;18640601;2.0
BER;18640602;24.2
BER;18640603;2.7
BER;18640604;0.0
BER;18640605;7.1
BER;18640606;0.0
BER;18640607;0.0
BER;18640608;8.0
BER;18640609;0.0
BER;18640610;45.8
BER;18640611;26.1
BER;18640612;0.0
BER;18640613;0.0
BER;18640614;0.0
BER;18640615;15.0
BER;18640616;0.0
BER;18640617;6.7
BER;18640618;0.0
BER;18640619;0.0
BER;18640620;0.0
BER;18640621;0.0
BER;18640622;0.0
BER;18640623;0.0
BER;18640624;3.8
BER;18640625;0.0
BER;18640626;0.0
BER;18640627;0.0
BER;18640628;4.4
BER;18640629;0.0
BER;18640630;0.0
BER;18640701;2.6
BER;18640702;0.0
BER;18640703;0.0
BER;18640704;7.7
BER;18640705;0.0
BER;18640706;0.0
BER;18640707;0.0
BER;18640708;0.0
BER;18640709;0.0
BER;18640710;0.0
BER;18640711;4.7
