 

stn;time;rre150yx
ZHZEL;1981;43.0
ZHZEL;1982;32.0
ZHZEL;1983;41.0
ZHZEL;1984;90.0
ZHZEL;1985;45.0
ZHZEL;1986;41.0
ZHZEL;1987;64.0
ZHZEL;1988;36.5
ZHZEL;1989;42.5
ZHZEL;1990;41.0
ZHZEL;1991;41.0
ZHZEL;1992;35.0
ZHZEL;1993;63.0
ZHZEL;1994;77.5
ZHZEL;1995;48.5
ZHZEL;1996;47.0
ZHZEL;1997;20.0
ZHZEL;1998;39.0
ZHZEL;1999;79.0
ZHZEL;2000;80.8
ZHZEL;2001;43.2
ZHZEL;2002;65.2
ZHZEL;2003;23.2
ZHZEL;2004;40.6
ZHZEL;2005;68.1
ZHZEL;2006;31.5
ZHZEL;2007;71.9
ZHZEL;2008;55.1
ZHZEL;2009;51.9
ZHZEL;2010;46.3
ZHZEL;2011;42.3
ZHZEL;2012;51.2
ZHZEL;2013;56.8
ZHZEL;2014;60.1
ZHZEL;2015;65.3
ZHZEL;2016;54.0
ZHZEL;2017;48.7
ZHZEL;2018;33.0
ZHZEL;2019;40.4
ZHZEL;2020;45.9
