 

stn;time;hns000y0
NEU;1931;165
NEU;1932;44
NEU;1933;61
NEU;1934;26
NEU;1935;122
NEU;1936;18
NEU;1937;61
NEU;1938;86
NEU;1939;84
NEU;1940;72
NEU;1941;78
NEU;1942;127
NEU;1943;59
NEU;1944;67
NEU;1945;101
NEU;1946;24
NEU;1947;95
NEU;1948;26
NEU;1949;53
NEU;1950;69
NEU;1951;25
NEU;1952;154
NEU;1953;77
NEU;1954;76
NEU;1955;90
NEU;1956;31
NEU;1957;50
NEU;1958;59
NEU;1959;43
NEU;1960;35
NEU;1961;18
NEU;1962;78
NEU;1963;68
NEU;1964;49
NEU;1965;130
NEU;1966;36
NEU;1967;15
NEU;1968;97
NEU;1969;55
NEU;1970;101
NEU;1971;30
NEU;1972;12
NEU;1973;39
NEU;1974;20
NEU;1975;14
NEU;1976;35
NEU;1977;49
NEU;1978;41
NEU;1979;57
NEU;1980;63
NEU;1981;95
NEU;1982;15
NEU;1983;32
NEU;1984;113
NEU;1985;87
NEU;1986;105
NEU;1987;54
NEU;1988;50
NEU;1989;3
NEU;1990;41
NEU;1991;24
NEU;1992;6
NEU;1993;17
NEU;1994;11
NEU;1995;68
NEU;1996;37
NEU;1997;23
NEU;1998;34
NEU;1999;76
NEU;2000;13
NEU;2001;21
NEU;2002;14
NEU;2003;38
NEU;2004;44
NEU;2005;80
NEU;2006;50
NEU;2007;9
NEU;2008;67
NEU;2009;53
NEU;2010;87
NEU;2011;14
NEU;2012;28
NEU;2013;37
NEU;2014;6
NEU;2015;21
NEU;2016;18
NEU;2017;44
NEU;2018;27
NEU;2019;23
NEU;2020;5
