 

stn;time;rre150yx
EFF;1953;73.8
EFF;1954;63.3
EFF;1955;40.7
EFF;1956;39.4
EFF;1957;44.6
EFF;1958;61.2
EFF;1959;34.1
EFF;1960;42.3
EFF;1961;30.9
EFF;1962;36.1
EFF;1963;53.1
EFF;1964;52.9
EFF;1965;36.7
EFF;1966;32.1
EFF;1967;45.7
EFF;1968;119.3
EFF;1969;36.1
EFF;1970;33.6
EFF;1971;34.8
EFF;1972;55.1
EFF;1973;95.7
EFF;1974;51.4
EFF;1975;114.7
EFF;1976;46.4
EFF;1977;54.6
EFF;1978;86.5
EFF;1979;117.2
EFF;1980;35.4
EFF;1981;50.5
EFF;1982;40.3
EFF;1983;46.1
EFF;1984;56.2
EFF;1985;37.6
EFF;1986;64.8
EFF;1987;84.2
EFF;1988;38.1
EFF;1989;32.6
EFF;1990;37.7
EFF;1991;54.2
EFF;1992;65.4
EFF;1993;64.2
EFF;1994;85.5
EFF;1995;46.8
EFF;1996;31.6
EFF;1997;37.9
EFF;1998;43.9
EFF;1999;68.4
EFF;2000;67.8
EFF;2001;45.0
EFF;2002;43.1
EFF;2003;37.2
EFF;2004;56.3
EFF;2005;50.1
EFF;2006;53.1
EFF;2007;82.3
EFF;2008;58.3
EFF;2009;57.2
EFF;2010;55.9
EFF;2011;35.1
EFF;2012;58.3
EFF;2013;56.6
EFF;2014;44.5
EFF;2015;47.6
EFF;2016;61.8
EFF;2017;47.2
EFF;2018;39.2
EFF;2019;58.1
EFF;2020;51.0
