 

stn;time;hns000mx
MST;201611;25
MST;201612;2
MST;201701;25
MST;201702;17
MST;201703;11
MST;201704;23
MST;201705;17
MST;201706;0
MST;201707;0
MST;201708;0
MST;201709;1
MST;201710;3
MST;201711;17
MST;201712;14
MST;201801;52
MST;201802;13
MST;201803;15
MST;201804;4
MST;201805;1
MST;201806;0
MST;201807;0
MST;201808;0
MST;201809;0
MST;201810;62
MST;201811;3
MST;201812;43
MST;201901;58
MST;201902;27
MST;201903;29
MST;201904;35
MST;201905;9
MST;201906;0
MST;201907;0
MST;201908;0
MST;201909;0
MST;201910;0
MST;201911;23
MST;201912;18
MST;202001;20
MST;202002;32
MST;202003;23
MST;202004;2
MST;202005;0
MST;202006;3
MST;202007;0
MST;202008;0
MST;202009;22
MST;202010;44
MST;202011;2
MST;202012;50
MST;202101;50
MST;202102;17
MST;202103;26
