 

stn;time;hns000y0
SIO;1978;75
SIO;1979;52
SIO;1980;77
SIO;1981;121
SIO;1982;22
SIO;1983;55
SIO;1984;81
SIO;1985;68
SIO;1986;100
SIO;1987;28
SIO;1988;10
SIO;1989;14
SIO;1990;37
SIO;1991;48
SIO;1992;23
SIO;1993;16
SIO;1994;6
SIO;1995;34
SIO;1996;113
SIO;1997;0
SIO;1998;27
SIO;1999;139
SIO;2000;9
SIO;2001;33
SIO;2002;2
SIO;2003;9
SIO;2004;45
SIO;2005;75
SIO;2006;28
SIO;2007;4
SIO;2008;80
SIO;2009;58
SIO;2010;48
SIO;2011;55
SIO;2012;115
SIO;2013;32
SIO;2014;37
SIO;2015;41
SIO;2016;36
SIO;2017;89
SIO;2018;30
SIO;2019;39
SIO;2020;17
