 

stn;time;fklnd3m0
DLKLI;199302;0
DLKLI;199303;0
DLKLI;199304;0
DLKLI;199305;0
DLKLI;199306;0
DLKLI;199307;1
DLKLI;199308;0
DLKLI;199309;0
DLKLI;199310;0
DLKLI;199311;1
DLKLI;199312;6
DLKLI;199401;2
DLKLI;199402;0
DLKLI;199403;2
DLKLI;199404;2
DLKLI;199405;0
DLKLI;199406;0
DLKLI;199407;0
DLKLI;199408;0
DLKLI;199409;0
DLKLI;199410;0
DLKLI;199411;0
DLKLI;199412;0
DLKLI;199501;3
DLKLI;199502;1
DLKLI;199503;0
DLKLI;199504;0
