 

stn;time;fklnd3m0
MMRIC;201406;0
MMRIC;201407;0
MMRIC;201408;0
MMRIC;201409;0
MMRIC;201410;0
MMRIC;201411;0
MMRIC;201412;0
MMRIC;201501;0
MMRIC;201502;0
MMRIC;201503;1
MMRIC;201504;0
MMRIC;201505;0
MMRIC;201506;0
MMRIC;201507;0
MMRIC;201508;0
MMRIC;201509;0
MMRIC;201510;0
MMRIC;201511;0
MMRIC;201512;0
MMRIC;201601;1
MMRIC;201602;0
MMRIC;201603;0
MMRIC;201604;0
MMRIC;201605;0
MMRIC;201606;0
MMRIC;201607;0
MMRIC;201608;0
MMRIC;201609;0
MMRIC;201610;0
MMRIC;201611;0
MMRIC;201612;0
MMRIC;201701;0
MMRIC;201702;0
MMRIC;201703;0
MMRIC;201704;1
MMRIC;201705;0
MMRIC;201706;0
MMRIC;201707;0
MMRIC;201708;0
MMRIC;201709;0
MMRIC;201710;0
MMRIC;201711;0
MMRIC;201712;0
MMRIC;201801;1
MMRIC;201802;0
MMRIC;201803;0
MMRIC;201804;0
MMRIC;201805;0
MMRIC;201806;0
MMRIC;201807;0
MMRIC;201808;0
MMRIC;201809;0
MMRIC;201810;0
MMRIC;201811;0
MMRIC;201812;0
MMRIC;201901;0
MMRIC;201902;0
MMRIC;201903;0
MMRIC;201904;0
MMRIC;201905;0
MMRIC;201906;0
MMRIC;201907;0
MMRIC;201908;0
MMRIC;201909;0
MMRIC;201910;0
MMRIC;201911;0
MMRIC;201912;0
MMRIC;202001;0
MMRIC;202002;1
MMRIC;202003;0
MMRIC;202004;0
MMRIC;202005;0
MMRIC;202006;0
MMRIC;202007;0
MMRIC;202008;0
MMRIC;202009;0
MMRIC;202010;0
MMRIC;202011;0
MMRIC;202012;0
MMRIC;202101;0
MMRIC;202102;0
MMRIC;202103;0
