 

stn;time;rhh150yx
FAH;1982;19.0
FAH;1983;8.3
FAH;1984;18.2
FAH;1985;23.1
FAH;1986;20.5
FAH;1987;18.3
FAH;1988;19.2
FAH;1989;21.6
FAH;1990;16.3
FAH;1991;17.7
FAH;1992;14.4
FAH;1993;12.5
FAH;1994;16.9
FAH;1995;12.8
FAH;1996;12.6
FAH;1997;17.5
FAH;1998;9.6
FAH;1999;23.3
FAH;2000;12.1
FAH;2001;12.7
FAH;2002;13.2
FAH;2003;31.8
FAH;2004;32.6
FAH;2005;19.5
FAH;2006;26.6
FAH;2007;43.2
FAH;2008;13.6
FAH;2009;20.0
FAH;2010;16.4
FAH;2011;17.7
FAH;2012;17.7
FAH;2013;18.5
FAH;2014;11.9
FAH;2015;19.0
FAH;2016;21.2
FAH;2017;15.7
FAH;2018;22.0
FAH;2019;11.9
FAH;2020;27.3
