 

stn;time;fu3010m1
GUE;201203;89.6
GUE;201204;203.8
GUE;201205;115.6
GUE;201206;104.8
GUE;201207;114.5
GUE;201208;111.6
GUE;201209;164.9
GUE;201210;115.6
GUE;201211;130.0
GUE;201212;123.5
GUE;201301;93.6
GUE;201302;106.9
GUE;201303;105.5
GUE;201304;181.8
GUE;201305;134.3
GUE;201306;156.2
GUE;201307;124.2
GUE;201308;138.6
GUE;201309;106.2
GUE;201310;124.6
GUE;201311;122.4
GUE;201312;208.4
GUE;201401;133.2
GUE;201402;136.8
GUE;201403;102.6
GUE;201404;104.4
GUE;201405;134.3
GUE;201406;74.9
GUE;201407;133.2
GUE;201408;104.0
GUE;201409;86.8
GUE;201410;107.3
GUE;201411;187.9
GUE;201412;94.3
GUE;201501;138.6
GUE;201502;118.8
GUE;201503;155.5
GUE;201504;124.9
GUE;201505;90.0
GUE;201506;105.5
GUE;201507;104.0
GUE;201508;119.5
GUE;201509;172.4
GUE;201510;105.1
GUE;201511;101.5
GUE;201512;94.0
GUE;201601;108.0
GUE;201602;-
GUE;201603;136.4
GUE;201604;126.7
GUE;201605;119.2
GUE;201606;86.0
GUE;201607;76.0
GUE;201608;79.2
GUE;201609;91.8
GUE;201610;122.8
GUE;201611;134.3
GUE;201612;116.3
GUE;201701;144.4
GUE;201702;113.4
GUE;201703;164.2
GUE;201704;113.0
GUE;201705;121.0
GUE;201706;87.8
GUE;201707;120.6
GUE;201708;104.0
GUE;201709;97.6
GUE;201710;113.8
GUE;201711;121.7
GUE;201712;190.8
GUE;201801;200.5
GUE;201802;99.7
GUE;201803;154.1
GUE;201804;161.6
GUE;201805;86.4
GUE;201806;89.6
GUE;201807;77.4
GUE;201808;69.1
GUE;201809;72.4
GUE;201810;213.1
GUE;201811;163.4
GUE;201812;124.9
GUE;201901;139.0
GUE;201902;124.9
GUE;201903;182.9
GUE;201904;168.8
GUE;201905;125.6
GUE;201906;162.4
GUE;201907;99.7
GUE;201908;90.7
GUE;201909;81.4
GUE;201910;169.6
GUE;201911;158.0
GUE;201912;192.2
GUE;202001;129.2
GUE;202002;202.3
GUE;202003;117.7
GUE;202004;80.6
GUE;202005;91.1
GUE;202006;83.2
GUE;202007;81.0
GUE;202008;89.3
GUE;202009;110.9
GUE;202010;168.8
GUE;202011;87.1
GUE;202012;126.0
GUE;202101;126.0
GUE;202102;117.7
GUE;202103;105.1
