 

stn;time;rhh150yx
GVE;1981;10.9
GVE;1982;13.8
GVE;1983;18.5
GVE;1984;18.9
GVE;1985;17.6
GVE;1986;13.6
GVE;1987;12.0
GVE;1988;9.3
GVE;1989;10.7
GVE;1990;11.4
GVE;1991;14.6
GVE;1992;22.6
GVE;1993;14.8
GVE;1994;14.1
GVE;1995;16.8
GVE;1996;25.4
GVE;1997;19.4
GVE;1998;27.4
GVE;1999;12.9
GVE;2000;13.2
GVE;2001;17.6
GVE;2002;12.3
GVE;2003;26.0
GVE;2004;14.3
GVE;2005;16.8
GVE;2006;11.8
GVE;2007;30.6
GVE;2008;24.1
GVE;2009;11.8
GVE;2010;11.6
GVE;2011;8.3
GVE;2012;12.9
GVE;2013;21.6
GVE;2014;24.7
GVE;2015;16.6
GVE;2016;16.6
GVE;2017;11.9
GVE;2018;31.8
GVE;2019;11.4
GVE;2020;19.4
