 

stn;time;breclod0
OED;20050601;0
OED;20050602;0
OED;20050603;1
OED;20050604;0
OED;20050605;0
OED;20050606;0
OED;20050607;0
OED;20050608;0
OED;20050609;0
OED;20050610;0
OED;20050611;0
OED;20050612;0
OED;20050613;1
OED;20050614;0
OED;20050615;0
OED;20050616;0
OED;20050617;0
OED;20050618;0
OED;20050619;0
OED;20050620;0
OED;20050621;0
OED;20050622;0
OED;20050623;0
OED;20050624;4
OED;20050625;0
OED;20050626;0
OED;20050627;1
OED;20050628;0
OED;20050629;0
OED;20050630;0
OED;20050701;0
OED;20050702;0
OED;20050703;0
OED;20050704;0
OED;20050705;0
OED;20050706;0
OED;20050707;0
OED;20050708;0
OED;20050709;0
OED;20050710;0
OED;20050711;0
OED;20050712;0
OED;20050713;0
OED;20050714;0
OED;20050715;0
OED;20050716;3
OED;20050717;0
OED;20050718;8
OED;20050719;1
OED;20050720;0
OED;20050721;0
OED;20050722;0
OED;20050723;0
OED;20050724;0
OED;20050725;3
OED;20050726;0
OED;20050727;0
OED;20050728;0
OED;20050729;15
OED;20050730;0
OED;20050731;0
OED;20050801;0
OED;20050802;0
OED;20050803;0
OED;20050804;0
OED;20050805;0
OED;20050806;0
OED;20050807;0
OED;20050808;0
OED;20050809;0
OED;20050810;0
OED;20050811;0
OED;20050812;0
OED;20050813;0
OED;20050814;0
OED;20050815;0
OED;20050816;0
OED;20050817;0
OED;20050818;0
OED;20050819;4
OED;20050820;0
OED;20050821;0
OED;20050822;0
OED;20050823;0
OED;20050824;0
OED;20050825;0
OED;20050826;0
OED;20050827;0
OED;20050828;0
OED;20050829;0
OED;20050830;0
OED;20050831;0
OED;20050901;0
OED;20050902;0
OED;20050903;0
OED;20050904;0
OED;20050905;0
OED;20050906;0
OED;20050907;0
OED;20050908;0
OED;20050909;0
OED;20050910;0
OED;20050911;0
OED;20050912;0
OED;20050913;0
OED;20050914;0
OED;20050915;0
OED;20050916;0
OED;20050917;0
OED;20050918;0
OED;20050919;0
OED;20050920;0
OED;20050921;0
OED;20050922;0
OED;20050923;0
OED;20050924;0
OED;20050925;0
OED;20050926;0
OED;20050927;0
OED;20050928;0
OED;20050929;0
OED;20050930;0
OED;20051001;0
OED;20051002;0
OED;20051003;0
OED;20051004;0
OED;20051005;0
OED;20051006;0
OED;20051007;0
OED;20051008;0
OED;20051009;0
OED;20051010;0
OED;20051011;0
OED;20051012;0
OED;20051013;0
OED;20051014;0
OED;20051015;0
OED;20051016;0
OED;20051017;0
OED;20051018;0
OED;20051019;0
OED;20051020;0
OED;20051021;0
OED;20051022;0
OED;20051023;0
OED;20051024;0
OED;20051025;0
OED;20051026;0
OED;20051027;0
OED;20051028;0
OED;20051029;0
OED;20051030;0
OED;20051031;0
OED;20051101;0
OED;20051102;0
OED;20051103;0
OED;20051104;0
OED;20051105;0
OED;20051106;0
OED;20051107;0
OED;20051108;0
OED;20051109;0
OED;20051110;0
OED;20051111;0
OED;20051112;0
OED;20051113;0
OED;20051114;0
OED;20051115;0
OED;20051116;0
OED;20051117;0
OED;20051118;0
OED;20051119;0
OED;20051120;0
OED;20051121;0
OED;20051122;0
OED;20051123;0
OED;20051124;0
OED;20051125;0
OED;20051126;0
OED;20051127;0
OED;20051128;0
OED;20051129;0
OED;20051130;0
OED;20051201;0
OED;20051202;0
OED;20051203;0
OED;20051204;0
OED;20051205;0
OED;20051206;0
OED;20051207;0
OED;20051208;0
OED;20051209;0
OED;20051210;0
OED;20051211;0
OED;20051212;0
OED;20051213;0
OED;20051214;0
OED;20051215;0
OED;20051216;0
OED;20051217;0
OED;20051218;0
OED;20051219;0
OED;20051220;0
OED;20051221;0
OED;20051222;0
OED;20051223;0
OED;20051224;0
OED;20051225;0
OED;20051226;0
OED;20051227;0
OED;20051228;0
OED;20051229;0
OED;20051230;0
OED;20051231;0
OED;20060101;0
OED;20060102;0
OED;20060103;0
OED;20060104;0
OED;20060105;0
OED;20060106;0
OED;20060107;0
OED;20060108;0
OED;20060109;0
OED;20060110;0
OED;20060111;0
OED;20060112;0
OED;20060113;0
OED;20060114;0
OED;20060115;0
OED;20060116;0
OED;20060117;0
OED;20060118;0
OED;20060119;0
OED;20060120;0
OED;20060121;0
OED;20060122;0
OED;20060123;0
OED;20060124;0
OED;20060125;0
OED;20060126;0
OED;20060127;0
OED;20060128;0
OED;20060129;0
OED;20060130;0
OED;20060131;0
OED;20060201;0
OED;20060202;0
OED;20060203;0
OED;20060204;0
OED;20060205;0
OED;20060206;0
OED;20060207;0
OED;20060208;0
OED;20060209;0
OED;20060210;0
OED;20060211;0
OED;20060212;0
OED;20060213;0
OED;20060214;0
OED;20060215;0
OED;20060216;0
OED;20060217;0
OED;20060218;0
OED;20060219;0
OED;20060220;0
OED;20060221;0
OED;20060222;0
OED;20060223;0
OED;20060224;0
OED;20060225;0
OED;20060226;0
OED;20060227;0
OED;20060228;0
OED;20060301;0
OED;20060302;0
OED;20060303;0
OED;20060304;0
OED;20060305;0
OED;20060306;0
OED;20060307;0
OED;20060308;0
OED;20060309;0
OED;20060310;0
OED;20060311;0
OED;20060312;0
OED;20060313;0
OED;20060314;0
OED;20060315;0
OED;20060316;0
OED;20060317;0
OED;20060318;0
OED;20060319;0
OED;20060320;0
OED;20060321;0
OED;20060322;0
OED;20060323;0
OED;20060324;0
OED;20060325;0
OED;20060326;0
OED;20060327;0
OED;20060328;0
OED;20060329;0
OED;20060330;0
OED;20060331;0
OED;20060401;0
OED;20060402;0
OED;20060403;0
OED;20060404;0
OED;20060405;0
OED;20060406;0
OED;20060407;0
OED;20060408;0
OED;20060409;0
OED;20060410;0
OED;20060411;0
OED;20060412;0
OED;20060413;0
OED;20060414;0
OED;20060415;0
OED;20060416;0
OED;20060417;0
OED;20060418;0
OED;20060419;0
OED;20060420;0
OED;20060421;0
OED;20060422;2
OED;20060423;0
OED;20060424;0
OED;20060425;0
OED;20060426;0
OED;20060427;0
OED;20060428;0
OED;20060429;0
OED;20060430;0
OED;20060501;0
OED;20060502;0
OED;20060503;0
OED;20060504;0
OED;20060505;4
OED;20060506;0
OED;20060507;0
OED;20060508;0
OED;20060509;0
OED;20060510;0
OED;20060511;0
OED;20060512;0
OED;20060513;0
OED;20060514;0
OED;20060515;0
OED;20060516;0
OED;20060517;0
OED;20060518;0
OED;20060519;0
OED;20060520;0
OED;20060521;0
OED;20060522;0
OED;20060523;0
OED;20060524;0
OED;20060525;0
OED;20060526;0
OED;20060527;0
OED;20060528;0
OED;20060529;0
OED;20060530;0
OED;20060531;0
OED;20060601;0
OED;20060602;0
OED;20060603;0
OED;20060604;0
OED;20060605;0
OED;20060606;0
OED;20060607;0
OED;20060608;0
OED;20060609;0
OED;20060610;0
OED;20060611;0
OED;20060612;0
OED;20060613;0
