 

stn;time;tnd00xy0
ABO;1967;38
ABO;1968;39
ABO;1969;59
ABO;1970;38
ABO;1971;38
ABO;1972;26
ABO;1973;53
ABO;1974;27
ABO;1975;25
ABO;1976;44
ABO;1977;35
ABO;1978;36
ABO;1979;44
ABO;1980;50
ABO;1981;50
ABO;1982;31
ABO;1983;30
ABO;1984;47
ABO;1985;53
ABO;1986;38
ABO;1987;49
ABO;1988;33
ABO;1989;6
ABO;1990;27
ABO;1991;37
ABO;1992;22
ABO;1993;34
ABO;1994;21
ABO;1995;28
ABO;1996;33
ABO;1997;17
ABO;1998;40
ABO;1999;39
ABO;2000;22
ABO;2001;37
ABO;2002;11
ABO;2003;43
ABO;2004;50
ABO;2005;67
ABO;2006;37
ABO;2007;24
ABO;2008;26
ABO;2009;40
ABO;2010;62
ABO;2011;21
ABO;2012;46
ABO;2013;51
ABO;2014;15
ABO;2015;27
ABO;2016;22
ABO;2017;35
ABO;2018;31
ABO;2019;29
ABO;2020;13
