 

stn;time;hto000y0
ELM;1949;13
ELM;1950;19
ELM;1951;22
ELM;1952;30
ELM;1953;22
ELM;1954;19
ELM;1955;13
ELM;1956;13
ELM;1957;4
ELM;1958;17
ELM;1959;12
ELM;1960;8
ELM;1961;12
ELM;1962;23
ELM;1963;29
ELM;1964;8
ELM;1965;17
ELM;1966;23
ELM;1967;23
ELM;1968;39
ELM;1969;17
ELM;1970;31
ELM;1971;13
ELM;1972;7
ELM;1973;21
ELM;1974;23
ELM;1975;16
ELM;1976;17
ELM;1977;13
ELM;1978;17
ELM;1979;7
ELM;1980;21
ELM;1981;38
ELM;1982;28
ELM;1983;11
ELM;1984;17
ELM;1985;8
ELM;1986;15
ELM;1987;21
ELM;1988;13
ELM;1989;4
ELM;1990;4
ELM;1991;7
ELM;1992;12
ELM;1993;7
ELM;1994;2
ELM;1995;9
ELM;1996;6
ELM;1997;3
ELM;1998;6
ELM;1999;22
ELM;2000;11
ELM;2001;4
ELM;2002;2
ELM;2003;9
ELM;2004;10
ELM;2005;17
ELM;2006;14
ELM;2007;5
ELM;2008;5
ELM;2009;13
ELM;2010;5
ELM;2011;4
ELM;2012;20
ELM;2013;10
ELM;2014;2
ELM;2015;7
ELM;2016;4
ELM;2017;8
ELM;2018;4
ELM;2019;11
ELM;2020;4
