 

stn;time;rhh150mx
GECRN;200602;2.8
GECRN;200603;3.1
GECRN;200604;4.2
GECRN;200605;8.1
GECRN;200606;5.0
GECRN;200607;9.9
GECRN;200608;5.2
GECRN;200609;6.2
GECRN;200610;10.7
GECRN;200611;3.5
GECRN;200612;3.5
GECRN;200701;3.3
GECRN;200702;6.4
GECRN;200703;3.5
GECRN;200704;6.2
GECRN;200705;6.2
GECRN;200706;15.9
GECRN;200707;8.8
GECRN;200708;9.1
GECRN;200709;12.2
GECRN;200710;4.1
GECRN;200711;4.7
GECRN;200712;3.8
GECRN;200801;3.7
GECRN;200802;2.4
GECRN;200803;5.6
GECRN;200804;20.2
GECRN;200805;6.6
GECRN;200806;2.8
GECRN;200807;8.0
GECRN;200808;11.6
GECRN;200809;17.3
GECRN;200810;7.0
GECRN;200811;2.9
GECRN;200812;4.5
GECRN;200901;4.9
GECRN;200902;-
GECRN;200903;2.4
GECRN;200904;5.5
GECRN;200905;1.7
GECRN;200906;7.7
GECRN;200907;6.4
GECRN;200908;10.5
GECRN;200909;14.7
GECRN;200910;4.7
GECRN;200911;4.9
GECRN;200912;6.1
GECRN;201001;2.6
GECRN;201002;4.4
GECRN;201003;3.2
GECRN;201004;3.3
GECRN;201005;3.7
GECRN;201006;11.1
GECRN;201007;5.8
GECRN;201008;9.1
GECRN;201009;3.2
GECRN;201010;4.2
GECRN;201011;4.2
GECRN;201012;4.7
GECRN;201101;3.9
GECRN;201102;2.1
GECRN;201103;1.9
GECRN;201104;3.0
GECRN;201105;2.1
GECRN;201106;5.7
GECRN;201107;8.2
GECRN;201108;5.6
GECRN;201109;5.3
GECRN;201110;6.3
GECRN;201111;2.8
GECRN;201112;5.8
GECRN;201201;3.8
GECRN;201202;0.1
GECRN;201203;1.0
GECRN;201204;3.9
GECRN;201205;6.0
GECRN;201206;5.9
GECRN;201207;4.5
GECRN;201208;9.6
GECRN;201209;5.3
GECRN;201210;6.3
GECRN;201211;9.8
GECRN;201212;7.0
GECRN;201301;2.6
GECRN;201302;3.8
GECRN;201303;2.9
GECRN;201304;4.5
GECRN;201305;9.6
GECRN;201306;4.1
GECRN;201307;19.3
GECRN;201308;7.8
GECRN;201309;9.3
GECRN;201310;10.5
GECRN;201311;8.1
GECRN;201312;6.1
GECRN;201401;6.5
GECRN;201402;6.2
GECRN;201403;4.9
GECRN;201404;3.5
GECRN;201405;3.4
GECRN;201406;6.6
GECRN;201407;15.0
GECRN;201408;9.0
GECRN;201409;1.8
GECRN;201410;18.6
GECRN;201411;6.9
GECRN;201412;3.2
GECRN;201501;4.9
GECRN;201502;5.9
GECRN;201503;3.5
GECRN;201504;4.9
GECRN;201505;3.6
GECRN;201506;6.8
GECRN;201507;12.9
GECRN;201508;5.7
GECRN;201509;8.3
GECRN;201510;4.5
GECRN;201511;6.5
GECRN;201512;2.1
GECRN;201601;3.7
GECRN;201602;6.5
GECRN;201603;2.6
GECRN;201604;4.2
GECRN;201605;4.6
GECRN;201606;9.5
GECRN;201607;6.9
GECRN;201608;6.0
GECRN;201609;3.0
GECRN;201610;5.9
GECRN;201611;10.8
GECRN;201612;0.1
GECRN;201701;2.1
GECRN;201702;5.5
GECRN;201703;3.1
GECRN;201704;2.3
GECRN;201705;5.7
GECRN;201706;7.8
GECRN;201707;12.6
GECRN;201708;6.7
GECRN;201709;3.9
GECRN;201710;2.2
GECRN;201711;10.0
GECRN;201712;4.8
GECRN;201801;7.7
GECRN;201802;3.2
GECRN;201803;4.9
GECRN;201804;3.9
GECRN;201805;7.6
GECRN;201806;16.3
GECRN;201807;10.5
GECRN;201808;8.0
GECRN;201809;3.2
GECRN;201810;1.8
GECRN;201811;5.7
GECRN;201812;12.9
GECRN;201901;3.4
GECRN;201902;4.0
GECRN;201903;5.5
GECRN;201904;3.2
GECRN;201905;2.5
GECRN;201906;7.0
GECRN;201907;11.1
GECRN;201908;5.8
GECRN;201909;4.4
GECRN;201910;8.1
GECRN;201911;6.8
GECRN;201912;6.7
GECRN;202001;2.5
GECRN;202002;4.9
GECRN;202003;6.7
GECRN;202004;4.2
GECRN;202005;6.9
GECRN;202006;10.1
GECRN;202007;2.8
GECRN;202008;7.3
GECRN;202009;7.9
GECRN;202010;6.0
GECRN;202011;3.8
GECRN;202012;3.9
GECRN;202101;7.5
GECRN;202102;2.8
GECRN;202103;3.2
