 

stn;time;rs1000y0
OBI;1884;0
OBI;1885;0
OBI;1886;0
OBI;1887;0
OBI;1888;0
OBI;1889;0
OBI;1890;0
OBI;1891;0
OBI;1892;0
OBI;1893;0
OBI;1894;0
OBI;1895;0
OBI;1896;0
OBI;1897;0
OBI;1898;0
OBI;1899;0
OBI;1900;0
OBI;1901;0
OBI;1902;0
OBI;1903;0
OBI;1904;0
OBI;1905;0
OBI;1906;1
OBI;1907;0
OBI;1908;0
OBI;1909;0
OBI;1910;1
OBI;1911;0
OBI;1912;0
OBI;1913;0
OBI;1914;0
OBI;1915;0
OBI;1916;0
OBI;1917;0
OBI;1918;0
OBI;1919;0
OBI;1920;0
OBI;1921;0
OBI;1922;0
OBI;1923;0
OBI;1924;0
OBI;1925;0
OBI;1926;0
OBI;1927;0
OBI;1928;0
OBI;1929;0
OBI;1930;0
OBI;1931;0
OBI;1932;0
OBI;1933;0
OBI;1934;0
OBI;1935;0
OBI;1936;0
OBI;1937;0
OBI;1938;0
OBI;1939;0
OBI;1940;0
OBI;1941;0
OBI;1942;0
OBI;1943;0
OBI;1944;0
OBI;1945;0
OBI;1946;0
OBI;1947;0
OBI;1948;0
OBI;1949;0
OBI;1950;0
OBI;1951;0
OBI;1952;0
OBI;1953;0
OBI;1954;0
OBI;1955;0
OBI;1956;0
OBI;1957;0
OBI;1958;0
OBI;1959;0
OBI;1960;0
OBI;1961;0
OBI;1962;0
OBI;1963;0
OBI;1964;0
OBI;1965;0
OBI;1966;0
OBI;1967;0
OBI;1968;0
OBI;1969;0
OBI;1970;0
OBI;1971;0
OBI;1972;0
OBI;1973;0
OBI;1974;0
OBI;1975;0
OBI;1976;0
OBI;1977;1
OBI;1978;1
OBI;1979;0
OBI;1980;0
OBI;1981;0
OBI;1982;0
OBI;1983;0
OBI;1984;0
OBI;1985;0
OBI;1986;0
OBI;1987;0
OBI;1988;0
OBI;1989;0
OBI;1990;1
OBI;1991;0
OBI;1992;0
OBI;1993;0
OBI;1994;0
OBI;1995;0
OBI;1996;0
OBI;1997;0
OBI;1998;0
OBI;1999;1
OBI;2000;0
OBI;2001;0
OBI;2002;0
OBI;2003;0
OBI;2004;0
OBI;2005;0
OBI;2006;0
OBI;2007;0
OBI;2008;0
OBI;2009;0
OBI;2010;0
OBI;2011;0
OBI;2012;0
OBI;2013;0
OBI;2014;0
OBI;2015;0
OBI;2016;0
OBI;2017;0
OBI;2018;0
OBI;2019;0
OBI;2020;0
