 

stn;time;rzz150yx
DAV;1981;2.3
DAV;1982;5.0
DAV;1983;5.5
DAV;1984;5.0
DAV;1985;6.8
DAV;1986;4.3
DAV;1987;6.3
DAV;1988;4.2
DAV;1989;10.7
DAV;1990;11.4
DAV;1991;6.8
DAV;1992;6.8
DAV;1993;5.1
DAV;1994;8.5
DAV;1995;17.0
DAV;1996;10.7
DAV;1997;7.0
DAV;1998;9.8
DAV;1999;6.3
DAV;2000;10.4
DAV;2001;4.2
DAV;2002;3.7
DAV;2003;7.0
DAV;2004;4.1
DAV;2005;15.5
DAV;2006;9.6
DAV;2007;6.5
DAV;2008;5.6
DAV;2009;6.6
DAV;2010;7.2
DAV;2011;5.1
DAV;2012;6.8
DAV;2013;6.3
DAV;2014;6.9
DAV;2015;6.4
DAV;2016;9.1
DAV;2017;7.3
DAV;2018;5.7
DAV;2019;10.0
DAV;2020;5.4
