 

stn;time;rhh150yx
DLGAR;1999;14.2
DLGAR;2000;21.8
DLGAR;2001;8.8
DLGAR;2002;37.1
DLGAR;2003;23.2
DLGAR;2004;11.8
DLGAR;2005;16.4
DLGAR;2006;17.9
DLGAR;2007;19.6
DLGAR;2008;27.5
DLGAR;2009;34.2
DLGAR;2010;18.4
DLGAR;2011;15.9
DLGAR;2012;15.5
DLGAR;2013;16.0
DLGAR;2014;28.2
DLGAR;2015;28.7
DLGAR;2016;13.3
DLGAR;2017;21.1
DLGAR;2018;15.5
DLGAR;2019;12.4
DLGAR;2020;22.6
