Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94885

Filename                                Filetype  Station                              Parameter                                                   Period
order_94885_IYPRL_tre200y0_2_legend.txt Legend    Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2009-2010
order_94885_IYPRL_tre200y0_3_data.txt   Data      Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2012-2013
order_94885_IYPRL_tre200y0_3_legend.txt Legend    Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2012-2013
order_94885_IYPRL_tre200y0_4_data.txt   Data      Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2015-2018
order_94885_IYPRL_tre200y0_4_legend.txt Legend    Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2015-2018
order_94885_IYPRL_tre200y0_5_data.txt   Data      Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2019-2020
order_94885_IYPRL_tre200y0_5_legend.txt Legend    Prettau /  Lengspitze                Air temperature 2 m above ground; annual mean               2019-2020
order_94885_IYSGR_tre200y0_1_data.txt   Data      Schnals / Grawand                    Air temperature 2 m above ground; annual mean               2009-2010
order_94885_IYSGR_tre200y0_1_legend.txt Legend    Schnals / Grawand                    Air temperature 2 m above ground; annual mean               2009-2010
order_94885_IYSGR_tre200y0_2_data.txt   Data      Schnals / Grawand                    Air temperature 2 m above ground; annual mean               2012-2018
order_94885_IYSGR_tre200y0_2_legend.txt Legend    Schnals / Grawand                    Air temperature 2 m above ground; annual mean               2012-2018
order_94885_IYSIG_tre200y0_1_data.txt   Data      Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2006-2007
order_94885_IYSIG_tre200y0_1_legend.txt Legend    Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2006-2007
order_94885_IYSIG_tre200y0_2_data.txt   Data      Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2010-2011
