 

stn;time;hto000y0
LAG;1959;0
LAG;1960;1
LAG;1961;2
LAG;1962;2
LAG;1963;9
LAG;1964;1
LAG;1965;5
LAG;1966;1
LAG;1967;1
LAG;1968;6
LAG;1969;6
LAG;1970;4
LAG;1971;1
LAG;1972;0
LAG;1973;3
LAG;1974;0
LAG;1975;0
LAG;1976;2
LAG;1977;3
LAG;1978;3
LAG;1979;3
LAG;1980;3
LAG;1981;5
LAG;1982;0
LAG;1983;0
LAG;1984;1
LAG;1985;2
LAG;1986;3
LAG;1987;1
LAG;1988;1
LAG;1989;0
LAG;1990;1
LAG;1991;0
LAG;1992;0
