 

stn;time;tre200y0
LAB;1931;6.2
LAB;1932;6.7
LAB;1933;6.3
LAB;1934;7.4
LAB;1935;6.7
LAB;1936;7.0
LAB;1937;7.2
LAB;1938;6.6
LAB;1939;6.5
LAB;1940;5.9
LAB;1941;6.2
LAB;1942;6.9
LAB;1943;8.2
LAB;1944;7.0
LAB;1945;7.8
LAB;1946;7.4
LAB;1947;8.6
LAB;1948;8.1
LAB;1949;8.4
LAB;1950;8.0
LAB;1951;7.5
LAB;1952;7.5
LAB;1953;7.6
LAB;1954;6.8
LAB;1955;7.0
LAB;1956;5.9
LAB;1957;7.5
LAB;1958;7.5
LAB;1959;8.4
LAB;1960;7.6
LAB;1961;8.4
LAB;1962;6.7
LAB;1963;6.5
LAB;1964;7.6
LAB;1965;6.9
LAB;1966;8.0
LAB;1967;7.8
LAB;1968;7.3
LAB;1969;7.1
LAB;1970;7.1
LAB;1971;7.4
LAB;1972;7.0
LAB;1973;7.1
LAB;1974;7.9
LAB;1975;7.7
LAB;1976;8.0
LAB;1977;7.9
LAB;1978;7.0
LAB;1979;7.6
LAB;1980;6.9
LAB;1981;7.4
LAB;1982;8.2
LAB;1983;8.0
LAB;1984;7.1
LAB;1985;7.1
LAB;1986;7.4
