Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94082

Filename                                Filetype  Station                              Parameter                                                   Period
order_94082_WSLCLB_rhh150mx_4_data.txt  Data      Celerina Bestand                     Precipitation; maximum total per hour of the month          202009-202011
order_94082_WSLCLB_rhh150mx_4_legend.txt Legend    Celerina Bestand                     Precipitation; maximum total per hour of the month          202009-202011
order_94082_WSLCLB_rhh150mx_5_data.txt  Data      Celerina Bestand                     Precipitation; maximum total per hour of the month          202101-202103
order_94082_WSLCLB_rhh150mx_5_legend.txt Legend    Celerina Bestand                     Precipitation; maximum total per hour of the month          202101-202103
order_94082_WSLCLF_rhh150mx_1_data.txt  Data      Celerina Freiland                    Precipitation; maximum total per hour of the month          201712-201811
order_94082_WSLCLF_rhh150mx_1_legend.txt Legend    Celerina Freiland                    Precipitation; maximum total per hour of the month          201712-201811
order_94082_WSLCLF_rhh150mx_2_data.txt  Data      Celerina Freiland                    Precipitation; maximum total per hour of the month          201812-201907
order_94082_WSLCLF_rhh150mx_2_legend.txt Legend    Celerina Freiland                    Precipitation; maximum total per hour of the month          201812-201907
order_94082_WSLCLF_rhh150mx_3_data.txt  Data      Celerina Freiland                    Precipitation; maximum total per hour of the month          202002-202010
order_94082_WSLCLF_rhh150mx_3_legend.txt Legend    Celerina Freiland                    Precipitation; maximum total per hour of the month          202002-202010
order_94082_CHA_rhh150mx_1_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          198012-201210
order_94082_CHA_rhh150mx_1_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          198012-201210
order_94082_CHA_rhh150mx_2_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          201211-201406
order_94082_CHA_rhh150mx_2_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          201211-201406
order_94082_CHA_rhh150mx_3_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          201407-201412
order_94082_CHA_rhh150mx_3_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          201407-201412
order_94082_CHA_rhh150mx_4_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          201502-201708
order_94082_CHA_rhh150mx_4_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          201502-201708
order_94082_CHA_rhh150mx_5_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          201709-201711
order_94082_CHA_rhh150mx_5_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          201709-201711
order_94082_CHA_rhh150mx_6_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          201712-202011
order_94082_CHA_rhh150mx_6_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          201712-202011
order_94082_CHA_rhh150mx_7_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          202101-202103
order_94082_CHA_rhh150mx_7_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          202101-202103
order_94082_CIM_rhh150mx_1_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          198112-198311
order_94082_CIM_rhh150mx_1_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          198112-198311
order_94082_CIM_rhh150mx_2_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          198312-200606
order_94082_CIM_rhh150mx_2_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          198312-200606
order_94082_CIM_rhh150mx_3_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          200607-200806
order_94082_CIM_rhh150mx_3_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          200607-200806
order_94082_CIM_rhh150mx_4_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          200807-200812
order_94082_CIM_rhh150mx_4_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          200807-200812
order_94082_CIM_rhh150mx_5_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          200901-201204
order_94082_CIM_rhh150mx_5_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          200901-201204
order_94082_CIM_rhh150mx_6_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          201205-201206
order_94082_CIM_rhh150mx_6_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          201205-201206
order_94082_CIM_rhh150mx_7_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          201207-201312
order_94082_CIM_rhh150mx_7_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          201207-201312
order_94082_CIM_rhh150mx_8_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          201401-201903
order_94082_CIM_rhh150mx_8_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          201401-201903
order_94082_CIM_rhh150mx_9_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          201904-202009
order_94082_CIM_rhh150mx_9_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          201904-202009
order_94082_CIM_rhh150mx_10_data.txt    Data      Cimetta                              Precipitation; maximum total per hour of the month          202010-202103
order_94082_CIM_rhh150mx_10_legend.txt  Legend    Cimetta                              Precipitation; maximum total per hour of the month          202010-202103
order_94082_DAV_rhh150mx_1_data.txt     Data      Davos                                Precipitation; maximum total per hour of the month          198012-202103
order_94082_DAV_rhh150mx_1_legend.txt   Legend    Davos                                Precipitation; maximum total per hour of the month          198012-202103
order_94082_NABDAV_rhh150mx_1_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199106-199107
order_94082_NABDAV_rhh150mx_1_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199106-199107
order_94082_NABDAV_rhh150mx_2_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199108-199109
order_94082_NABDAV_rhh150mx_2_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199108-199109
order_94082_NABDAV_rhh150mx_3_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199110-199112
order_94082_NABDAV_rhh150mx_3_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199110-199112
order_94082_NABDAV_rhh150mx_4_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199512-199605
