 

stn;time;tnd00xy0
SAM;1980;84
SAM;1981;86
SAM;1982;63
SAM;1983;65
SAM;1984;80
SAM;1985;72
SAM;1986;74
SAM;1987;77
SAM;1988;51
SAM;1989;29
SAM;1990;61
SAM;1991;70
SAM;1992;62
SAM;1993;54
SAM;1994;41
SAM;1995;63
SAM;1996;75
SAM;1997;51
SAM;1998;67
SAM;1999;70
SAM;2000;53
SAM;2001;59
SAM;2002;35
SAM;2003;57
SAM;2004;67
SAM;2005;87
SAM;2006;66
SAM;2007;45
SAM;2008;65
SAM;2009;83
SAM;2010;88
SAM;2011;36
SAM;2012;59
SAM;2013;67
SAM;2014;37
SAM;2015;41
SAM;2016;37
SAM;2017;59
SAM;2018;59
SAM;2019;50
SAM;2020;45
