Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94062

Filename                                Filetype  Station                              Parameter                                                   Period
order_94062_ALT_rzz150mx_1_data.txt     Data      Altdorf                              Precipitation; maximum ten minute total of the month        198012-201708
order_94062_ZHBID_rzz150mx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum ten minute total of the month        200311-202103
order_94062_DLBUC_rzz150mx_1_data.txt   Data      Buchenbach                           Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLBUC_rzz150mx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLBUC_rzz150mx_2_data.txt   Data      Buchenbach                           Precipitation; maximum ten minute total of the month        201609-201906
order_94062_DLBUC_rzz150mx_2_legend.txt Legend    Buchenbach                           Precipitation; maximum ten minute total of the month        201609-201906
order_94062_DLBUC_rzz150mx_3_data.txt   Data      Buchenbach                           Precipitation; maximum ten minute total of the month        201907-202103
order_94062_DLBUC_rzz150mx_3_legend.txt Legend    Buchenbach                           Precipitation; maximum ten minute total of the month        201907-202103
order_94062_TICAM_rzz150mx_1_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        200910-201012
order_94062_TICAM_rzz150mx_1_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        200910-201012
order_94062_TICAM_rzz150mx_2_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        201101-201204
order_94062_TICAM_rzz150mx_2_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        201101-201204
order_94062_TICAM_rzz150mx_3_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        201205-201604
order_94062_TICAM_rzz150mx_3_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        201205-201604
order_94062_TICAM_rzz150mx_4_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        201606-201803
order_94062_TICAM_rzz150mx_4_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        201606-201803
order_94062_TICAM_rzz150mx_5_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        201804-202007
order_94062_TICAM_rzz150mx_5_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        201804-202007
order_94062_TICAM_rzz150mx_6_data.txt   Data      Camignolo                            Precipitation; maximum ten minute total of the month        202008-202103
order_94062_TICAM_rzz150mx_6_legend.txt Legend    Camignolo                            Precipitation; maximum ten minute total of the month        202008-202103
order_94062_TIBIG_rzz150mx_1_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        200402-201612
order_94062_TIBIG_rzz150mx_1_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        200402-201612
order_94062_TIBIG_rzz150mx_2_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        201701-201705
order_94062_TIBIG_rzz150mx_2_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        201701-201705
order_94062_TIBIG_rzz150mx_3_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        201706-201912
order_94062_TIBIG_rzz150mx_3_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        201706-201912
order_94062_TIBIG_rzz150mx_4_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        202001-202005
order_94062_TIBIG_rzz150mx_4_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        202001-202005
order_94062_TIBIG_rzz150mx_5_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        202006-202102
order_94062_TIBIG_rzz150mx_5_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum ten minute total of the month        202006-202102
order_94062_CHZ_rzz150mx_1_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199306-199307
order_94062_CHZ_rzz150mx_1_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199306-199307
order_94062_CHZ_rzz150mx_2_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199310-199401
order_94062_CHZ_rzz150mx_2_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199310-199401
order_94062_CHZ_rzz150mx_3_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199403-199405
order_94062_CHZ_rzz150mx_3_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199403-199405
order_94062_CHZ_rzz150mx_4_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199407-199408
order_94062_CHZ_rzz150mx_4_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199407-199408
order_94062_CHZ_rzz150mx_5_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199410-199411
order_94062_CHZ_rzz150mx_5_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199410-199411
order_94062_CHZ_rzz150mx_6_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199501-199505
order_94062_CHZ_rzz150mx_6_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199501-199505
order_94062_CHZ_rzz150mx_7_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199507-199508
order_94062_CHZ_rzz150mx_7_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199507-199508
order_94062_CHZ_rzz150mx_8_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199509-199510
order_94062_CHZ_rzz150mx_8_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199509-199510
order_94062_CHZ_rzz150mx_9_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the month        199511-199604
order_94062_CHZ_rzz150mx_9_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the month        199511-199604
order_94062_CHZ_rzz150mx_10_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199606-199801
order_94062_CHZ_rzz150mx_10_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199606-199801
order_94062_CHZ_rzz150mx_11_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199804-199810
order_94062_CHZ_rzz150mx_11_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199804-199810
order_94062_CHZ_rzz150mx_12_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199811-199812
order_94062_CHZ_rzz150mx_12_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199811-199812
order_94062_CHZ_rzz150mx_13_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199901-199905
order_94062_CHZ_rzz150mx_13_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199901-199905
order_94062_CHZ_rzz150mx_14_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199906-199908
order_94062_CHZ_rzz150mx_14_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199906-199908
order_94062_CHZ_rzz150mx_15_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199909-199911
order_94062_CHZ_rzz150mx_15_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199909-199911
order_94062_CHZ_rzz150mx_16_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        199912-200002
order_94062_CHZ_rzz150mx_16_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        199912-200002
order_94062_CHZ_rzz150mx_17_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        200006-200010
order_94062_CHZ_rzz150mx_17_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        200006-200010
order_94062_CHZ_rzz150mx_18_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        200011-200407
order_94062_CHZ_rzz150mx_18_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        200011-200407
order_94062_CHZ_rzz150mx_19_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        200408-200811
order_94062_CHZ_rzz150mx_19_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        200408-200811
order_94062_CHZ_rzz150mx_20_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        200812-201403
order_94062_CHZ_rzz150mx_20_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        200812-201403
order_94062_CHZ_rzz150mx_21_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        201406-201904
order_94062_CHZ_rzz150mx_21_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        201406-201904
order_94062_CHZ_rzz150mx_22_data.txt    Data      Cham                                 Precipitation; maximum ten minute total of the month        201905-202103
order_94062_CHZ_rzz150mx_22_legend.txt  Legend    Cham                                 Precipitation; maximum ten minute total of the month        201905-202103
order_94062_TICOM_rzz150mx_1_data.txt   Data      Comano                               Precipitation; maximum ten minute total of the month        200910-201012
order_94062_TICOM_rzz150mx_1_legend.txt Legend    Comano                               Precipitation; maximum ten minute total of the month        200910-201012
order_94062_TICOM_rzz150mx_2_data.txt   Data      Comano                               Precipitation; maximum ten minute total of the month        201101-201204
order_94062_TICOM_rzz150mx_2_legend.txt Legend    Comano                               Precipitation; maximum ten minute total of the month        201101-201204
order_94062_TICOM_rzz150mx_3_data.txt   Data      Comano                               Precipitation; maximum ten minute total of the month        201205-201511
order_94062_TICOM_rzz150mx_3_legend.txt Legend    Comano                               Precipitation; maximum ten minute total of the month        201205-201511
order_94062_TICOM_rzz150mx_4_data.txt   Data      Comano                               Precipitation; maximum ten minute total of the month        201602-201604
order_94062_TICOM_rzz150mx_4_legend.txt Legend    Comano                               Precipitation; maximum ten minute total of the month        201602-201604
order_94062_DEM_rzz150mx_1_data.txt     Data      Delémont                             Precipitation; maximum ten minute total of the month        201208-202103
order_94062_DEM_rzz150mx_1_legend.txt   Legend    Delémont                             Precipitation; maximum ten minute total of the month        201208-202103
order_94062_DLELZ_rzz150mx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLELZ_rzz150mx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLELZ_rzz150mx_2_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201609-201703
order_94062_DLELZ_rzz150mx_2_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201609-201703
order_94062_DLELZ_rzz150mx_3_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201705-201710
order_94062_DLELZ_rzz150mx_3_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201705-201710
order_94062_DLELZ_rzz150mx_4_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201711-201712
order_94062_DLELZ_rzz150mx_4_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201711-201712
order_94062_DLELZ_rzz150mx_5_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201802-201909
order_94062_DLELZ_rzz150mx_5_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201802-201909
order_94062_DLELZ_rzz150mx_6_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201910-202007
order_94062_DLELZ_rzz150mx_6_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        201910-202007
order_94062_DLELZ_rzz150mx_7_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        202008-202103
order_94062_DLELZ_rzz150mx_7_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        202008-202103
order_94062_DLFRH_rzz150mx_1_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLFRH_rzz150mx_1_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201605-201608
order_94062_DLFRH_rzz150mx_2_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201609-201809
order_94062_DLFRH_rzz150mx_2_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201609-201809
order_94062_DLFRH_rzz150mx_3_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201810-202103
order_94062_DLFRH_rzz150mx_3_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum ten minute total of the month        201810-202103
order_94062_VDFEC_rzz150mx_1_data.txt   Data      Féchy                                Precipitation; maximum ten minute total of the month        201212-202103
order_94062_VDFEC_rzz150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum ten minute total of the month        201212-202103
order_94062_SOGER_rzz150mx_1_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        200301-201311
order_94062_SOGER_rzz150mx_1_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        200301-201311
order_94062_SOGER_rzz150mx_2_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        201401-201402
order_94062_SOGER_rzz150mx_2_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        201401-201402
order_94062_SOGER_rzz150mx_3_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        201404-201408
order_94062_SOGER_rzz150mx_3_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        201404-201408
order_94062_SOGER_rzz150mx_4_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        201409-201410
order_94062_SOGER_rzz150mx_4_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        201409-201410
order_94062_SOGER_rzz150mx_5_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        201502-201503
order_94062_SOGER_rzz150mx_5_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        201502-201503
order_94062_SOGER_rzz150mx_6_data.txt   Data      Gerlafingen                          Precipitation; maximum ten minute total of the month        201505-201508
order_94062_SOGER_rzz150mx_6_legend.txt Legend    Gerlafingen                          Precipitation; maximum ten minute total of the month        201505-201508
order_94062_DLGTT_rzz150mx_1_data.txt   Data      Gottmadingen                         Precipitation; maximum ten minute total of the month        202102-202103
order_94062_DLGTT_rzz150mx_1_legend.txt Legend    Gottmadingen                         Precipitation; maximum ten minute total of the month        202102-202103
order_94062_GUT_rzz150mx_1_data.txt     Data      Güttingen                            Precipitation; maximum ten minute total of the month        198012-200504
order_94062_GUT_rzz150mx_1_legend.txt   Legend    Güttingen                            Precipitation; maximum ten minute total of the month        198012-200504
order_94062_GUT_rzz150mx_2_data.txt     Data      Güttingen                            Precipitation; maximum ten minute total of the month        200505-201406
order_94062_GUT_rzz150mx_2_legend.txt   Legend    Güttingen                            Precipitation; maximum ten minute total of the month        200505-201406
order_94062_GUT_rzz150mx_3_data.txt     Data      Güttingen                            Precipitation; maximum ten minute total of the month        201407-201906
order_94062_GUT_rzz150mx_3_legend.txt   Legend    Güttingen                            Precipitation; maximum ten minute total of the month        201407-201906
order_94062_GUT_rzz150mx_4_data.txt     Data      Güttingen                            Precipitation; maximum ten minute total of the month        201907-202005
order_94062_GUT_rzz150mx_4_legend.txt   Legend    Güttingen                            Precipitation; maximum ten minute total of the month        201907-202005
order_94062_GUT_rzz150mx_5_data.txt     Data      Güttingen                            Precipitation; maximum ten minute total of the month        202006-202103
order_94062_GUT_rzz150mx_5_legend.txt   Legend    Güttingen                            Precipitation; maximum ten minute total of the month        202006-202103
order_94062_DLHEM_rzz150mx_1_data.txt   Data      Hermaringen                          Precipitation; maximum ten minute total of the month        201605-201606
order_94062_DLHEM_rzz150mx_1_legend.txt Legend    Hermaringen                          Precipitation; maximum ten minute total of the month        201605-201606
order_94062_DLHEM_rzz150mx_2_data.txt   Data      Hermaringen                          Precipitation; maximum ten minute total of the month        201607-201608
order_94062_DLHEM_rzz150mx_2_legend.txt Legend    Hermaringen                          Precipitation; maximum ten minute total of the month        201607-201608
order_94062_DLHEM_rzz150mx_3_data.txt   Data      Hermaringen                          Precipitation; maximum ten minute total of the month        201609-202103
order_94062_DLHEM_rzz150mx_3_legend.txt Legend    Hermaringen                          Precipitation; maximum ten minute total of the month        201609-202103
order_94062_BEINS_rzz150mx_1_data.txt   Data      Ins                                  Precipitation; maximum ten minute total of the month        199908-201302
order_94062_BEINS_rzz150mx_1_legend.txt Legend    Ins                                  Precipitation; maximum ten minute total of the month        199908-201302
order_94062_BEINS_rzz150mx_2_data.txt   Data      Ins                                  Precipitation; maximum ten minute total of the month        201304-201312
order_94062_BEINS_rzz150mx_2_legend.txt Legend    Ins                                  Precipitation; maximum ten minute total of the month        201304-201312
order_94062_BEINS_rzz150mx_3_data.txt   Data      Ins                                  Precipitation; maximum ten minute total of the month        201410-202103
order_94062_BEINS_rzz150mx_3_legend.txt Legend    Ins                                  Precipitation; maximum ten minute total of the month        201410-202103
order_94062_MBISL_rzz150mx_1_data.txt   Data      Isleten                              Precipitation; maximum ten minute total of the month        201504-201506
order_94062_MBISL_rzz150mx_1_legend.txt Legend    Isleten                              Precipitation; maximum ten minute total of the month        201504-201506
order_94062_MBISL_rzz150mx_2_data.txt   Data      Isleten                              Precipitation; maximum ten minute total of the month        201507-201508
order_94062_MBISL_rzz150mx_2_legend.txt Legend    Isleten                              Precipitation; maximum ten minute total of the month        201507-201508
order_94062_TGKAL_rzz150mx_1_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201008-201009
order_94062_TGKAL_rzz150mx_1_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201008-201009
order_94062_TGKAL_rzz150mx_2_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201010-201107
order_94062_TGKAL_rzz150mx_2_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201010-201107
order_94062_TGKAL_rzz150mx_3_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201108-201110
order_94062_TGKAL_rzz150mx_3_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201108-201110
order_94062_TGKAL_rzz150mx_4_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201111-201209
order_94062_TGKAL_rzz150mx_4_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201111-201209
order_94062_TGKAL_rzz150mx_5_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201212-201303
order_94062_TGKAL_rzz150mx_5_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201212-201303
order_94062_TGKAL_rzz150mx_6_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201304-201306
order_94062_TGKAL_rzz150mx_6_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201304-201306
order_94062_TGKAL_rzz150mx_7_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201307-201308
order_94062_TGKAL_rzz150mx_7_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201307-201308
order_94062_TGKAL_rzz150mx_8_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201309-201404
order_94062_TGKAL_rzz150mx_8_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201309-201404
order_94062_TGKAL_rzz150mx_9_data.txt   Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201405-201407
order_94062_TGKAL_rzz150mx_9_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201405-201407
order_94062_TGKAL_rzz150mx_10_data.txt  Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201411-201504
order_94062_TGKAL_rzz150mx_10_legend.txt Legend    Kaltenbach                           Precipitation; maximum ten minute total of the month        201411-201504
order_94062_TGKAL_rzz150mx_11_data.txt  Data      Kaltenbach                           Precipitation; maximum ten minute total of the month        201508-201512
