 

stn;time;tnd00xy0
DLROS;1950;32
DLROS;1951;8
DLROS;1952;36
DLROS;1953;31
DLROS;1954;31
DLROS;1955;27
DLROS;1956;46
DLROS;1957;18
DLROS;1958;21
DLROS;1959;16
DLROS;1960;22
DLROS;1961;25
DLROS;1962;35
DLROS;1963;61
DLROS;1964;41
DLROS;1965;23
DLROS;1966;20
DLROS;1967;20
DLROS;1968;27
DLROS;1969;41
DLROS;1970;36
DLROS;1971;31
DLROS;1972;31
DLROS;1973;27
DLROS;1974;3
DLROS;1975;12
DLROS;1976;33
DLROS;1977;27
DLROS;1978;43
DLROS;1979;22
DLROS;1980;32
DLROS;1981;36
DLROS;1982;21
DLROS;1983;24
DLROS;1984;18
DLROS;1985;42
DLROS;1986;31
