 

stn;time;rhh150yx
MVE;1982;9.1
MVE;1983;6.8
MVE;1984;11.1
MVE;1985;9.7
MVE;1986;11.2
MVE;1987;7.6
MVE;1988;11.7
MVE;1989;7.9
MVE;1990;15.7
MVE;1991;11.7
MVE;1992;8.1
MVE;1993;9.6
MVE;1994;7.6
MVE;1995;12.7
MVE;1996;8.7
MVE;1997;14.8
MVE;1998;10.5
MVE;1999;10.2
MVE;2000;7.4
MVE;2001;13.5
MVE;2002;8.5
MVE;2003;6.5
MVE;2004;8.6
MVE;2005;7.9
MVE;2006;15.8
MVE;2007;11.1
MVE;2008;6.2
MVE;2009;7.0
MVE;2010;9.5
MVE;2011;9.8
MVE;2012;8.0
MVE;2013;5.7
MVE;2014;10.1
MVE;2015;11.1
MVE;2016;7.2
MVE;2017;11.3
MVE;2018;9.4
MVE;2019;17.5
MVE;2020;6.1
