 

stn;time;rzz150yx
GUT;1981;12.5
GUT;1982;6.1
GUT;1983;5.4
GUT;1984;11.0
GUT;1985;7.1
GUT;1986;7.0
GUT;1987;8.8
GUT;1988;4.1
GUT;1989;7.5
GUT;1990;4.9
GUT;1991;4.4
GUT;1992;10.4
GUT;1993;20.8
GUT;1994;9.1
GUT;1995;7.6
GUT;1996;10.3
GUT;1997;7.5
GUT;1998;6.9
GUT;1999;13.0
GUT;2000;13.0
GUT;2001;5.8
GUT;2002;7.9
GUT;2003;11.4
GUT;2004;12.9
GUT;2005;6.9
GUT;2006;11.4
GUT;2007;14.9
GUT;2008;9.5
GUT;2009;6.5
GUT;2010;7.7
GUT;2011;13.6
GUT;2012;8.9
GUT;2013;15.9
GUT;2014;7.4
GUT;2015;20.8
GUT;2016;13.2
GUT;2017;10.2
GUT;2018;8.8
GUT;2019;14.2
GUT;2020;7.4
