 

stn;time;fu3010m1
LOR;200308;90.0
LOR;200309;65.5
LOR;200310;68.4
LOR;200311;43.6
LOR;200312;75.6
LOR;200401;70.2
LOR;200402;75.6
LOR;200403;65.9
LOR;200404;64.8
LOR;200405;67.0
LOR;200406;61.6
LOR;200407;65.5
LOR;200408;56.9
LOR;200409;59.8
LOR;200410;47.2
LOR;200411;74.9
LOR;200412;61.6
LOR;200501;74.5
LOR;200502;74.9
LOR;200503;60.5
LOR;200504;65.5
LOR;200505;71.3
LOR;200506;70.9
LOR;200507;98.3
LOR;200508;59.4
LOR;200509;56.9
LOR;200510;43.9
LOR;200511;54.4
LOR;200512;69.5
LOR;200601;65.2
LOR;200602;51.5
LOR;200603;82.1
LOR;200604;72.0
LOR;200605;73.8
LOR;200606;71.3
LOR;200607;88.2
LOR;200608;66.6
LOR;200609;46.8
LOR;200610;56.9
LOR;200611;67.7
LOR;200612;52.9
LOR;200701;87.5
LOR;200702;68.4
LOR;200703;73.8
LOR;200704;49.7
LOR;200705;71.3
LOR;200706;49.3
LOR;200707;61.2
LOR;200708;56.9
LOR;200709;65.9
LOR;200710;60.1
LOR;200711;79.2
LOR;200712;61.2
LOR;200801;75.6
LOR;200802;52.6
LOR;200803;72.4
LOR;200804;61.6
LOR;200805;51.5
LOR;200806;60.5
LOR;200807;73.1
LOR;200808;68.4
LOR;200809;54.7
LOR;200810;66.6
LOR;200811;58.3
LOR;200812;63.0
LOR;200901;50.4
LOR;200902;67.0
LOR;200903;82.1
LOR;200904;54.7
LOR;200905;63.0
LOR;200906;63.0
