 

stn;time;rzz150mx
VSBRI;201310;0.9
VSBRI;201311;1.3
VSBRI;201312;0.6
VSBRI;201401;0.7
VSBRI;201402;0.9
VSBRI;201403;0.7
VSBRI;201404;1.3
VSBRI;201405;1.2
VSBRI;201406;1.5
VSBRI;201407;1.9
VSBRI;201408;2.0
VSBRI;201409;3.7
VSBRI;201410;1.0
VSBRI;201411;0.6
VSBRI;201412;0.8
VSBRI;201501;0.6
VSBRI;201502;0.6
VSBRI;201503;0.7
VSBRI;201504;0.8
VSBRI;201505;1.1
VSBRI;201506;1.7
VSBRI;201507;3.7
VSBRI;201508;1.7
VSBRI;201509;1.4
VSBRI;201510;1.1
VSBRI;201511;0.8
VSBRI;201512;0.6
VSBRI;201601;0.7
VSBRI;201602;0.7
VSBRI;201603;0.6
VSBRI;201604;1.0
VSBRI;201605;1.6
VSBRI;201606;2.5
VSBRI;201607;2.3
VSBRI;201608;1.9
VSBRI;201609;2.3
VSBRI;201610;1.1
VSBRI;201611;0.8
VSBRI;201612;0.3
VSBRI;201701;1.1
VSBRI;201702;0.6
VSBRI;201703;0.7
VSBRI;201704;0.6
VSBRI;201705;0.9
VSBRI;201706;2.5
VSBRI;201707;2.2
VSBRI;201708;3.4
VSBRI;201709;0.8
VSBRI;201710;1.4
VSBRI;201711;0.8
