 

stn;time;hns000y0
GLA;1901;190
GLA;1902;116
GLA;1903;86
GLA;1904;155
GLA;1905;165
GLA;1906;242
GLA;1907;249
GLA;1908;144
GLA;1909;161
GLA;1910;182
GLA;1911;85
GLA;1912;100
GLA;1913;152
GLA;1914;93
GLA;1915;249
GLA;1916;114
GLA;1917;123
GLA;1918;110
GLA;1919;252
GLA;1920;32
GLA;1921;68
GLA;1922;232
GLA;1923;170
GLA;1924;77
GLA;1925;145
GLA;1926;170
GLA;1927;169
GLA;1928;97
GLA;1929;135
GLA;1930;66
GLA;1931;195
GLA;1932;68
GLA;1933;59
GLA;1934;48
GLA;1935;139
GLA;1936;10
GLA;1937;74
GLA;1938;230
GLA;1939;202
GLA;1940;178
GLA;1941;125
GLA;1942;70
GLA;1943;164
GLA;1944;313
GLA;1945;204
GLA;1946;125
GLA;1947;216
GLA;1948;45
GLA;1949;115
GLA;1950;93
GLA;1951;91
GLA;1952;406
GLA;1953;159
GLA;1954;203
GLA;1955;169
GLA;1956;108
GLA;1957;73
GLA;1958;197
GLA;1959;78
GLA;1960;63
GLA;1961;79
GLA;1962;250
GLA;1963;150
GLA;1964;199
GLA;1965;307
GLA;1966;304
GLA;1967;199
GLA;1968;355
GLA;1969;345
GLA;1970;413
GLA;1971;163
GLA;1972;45
GLA;1973;353
GLA;1974;160
GLA;1975;72
GLA;1976;102
GLA;1977;133
GLA;1978;113
GLA;1979;123
GLA;1980;122
GLA;1981;290
GLA;1982;93
GLA;1983;125
GLA;1984;118
GLA;1985;139
GLA;1986;198
GLA;1987;79
GLA;1988;125
GLA;1989;1
GLA;1990;102
GLA;1991;60
GLA;1992;30
GLA;1993;66
GLA;1994;27
GLA;1995;185
