 

stn;time;tnd00xy0
ALT;1909;22
ALT;1910;1
ALT;1911;20
ALT;1912;6
ALT;1913;5
ALT;1914;22
ALT;1915;13
ALT;1916;0
ALT;1917;29
ALT;1918;15
ALT;1919;16
ALT;1920;5
ALT;1921;0
ALT;1922;9
ALT;1923;5
ALT;1924;22
ALT;1925;11
ALT;1926;10
ALT;1927;7
ALT;1928;3
ALT;1929;42
ALT;1930;4
ALT;1931;21
ALT;1932;11
ALT;1933;26
ALT;1934;9
ALT;1935;18
ALT;1936;5
ALT;1937;5
ALT;1938;18
ALT;1939;5
ALT;1940;40
ALT;1941;21
ALT;1942;33
ALT;1943;4
ALT;1944;22
ALT;1945;27
ALT;1946;20
ALT;1947;17
ALT;1948;11
ALT;1949;11
ALT;1950;6
ALT;1951;0
ALT;1952;14
ALT;1953;23
ALT;1954;24
ALT;1955;7
ALT;1956;34
ALT;1957;9
ALT;1958;9
ALT;1959;6
ALT;1960;11
ALT;1961;10
ALT;1962;16
ALT;1963;48
ALT;1964;22
ALT;1965;7
ALT;1966;9
ALT;1967;15
ALT;1968;11
ALT;1969;25
ALT;1970;13
ALT;1971;28
ALT;1972;13
ALT;1973;11
ALT;1974;0
ALT;1975;10
ALT;1976;15
ALT;1977;7
ALT;1978;12
ALT;1979;10
ALT;1980;24
ALT;1981;20
ALT;1982;10
ALT;1983;17
ALT;1984;9
ALT;1985;32
ALT;1986;18
ALT;1987;29
ALT;1988;5
ALT;1989;11
ALT;1990;13
ALT;1991;23
ALT;1992;19
ALT;1993;14
ALT;1994;3
ALT;1995;11
ALT;1996;13
ALT;1997;9
ALT;1998;8
ALT;1999;15
ALT;2000;3
ALT;2001;11
ALT;2002;11
ALT;2003;20
ALT;2004;6
ALT;2005;24
ALT;2006;19
ALT;2007;14
ALT;2008;2
ALT;2009;17
ALT;2010;20
ALT;2011;3
ALT;2012;15
ALT;2013;9
ALT;2014;1
ALT;2015;2
ALT;2016;2
ALT;2017;13
ALT;2018;3
ALT;2019;0
ALT;2020;0
