 

stn;time;rzz150yx
BUS;1985;7.2
BUS;1986;22.0
BUS;1987;12.5
BUS;1988;13.7
BUS;1989;7.8
BUS;1990;8.7
BUS;1991;4.1
BUS;1992;8.4
BUS;1993;10.1
BUS;1994;11.8
BUS;1995;10.8
BUS;1996;9.2
BUS;1997;10.5
BUS;1998;7.0
BUS;1999;14.9
BUS;2000;13.3
BUS;2001;6.8
BUS;2002;16.3
BUS;2003;10.7
BUS;2004;23.3
BUS;2005;7.8
BUS;2006;15.0
BUS;2007;12.6
BUS;2008;9.5
BUS;2009;12.7
BUS;2010;12.9
BUS;2011;15.4
BUS;2012;5.8
BUS;2013;6.6
BUS;2014;17.5
BUS;2015;5.2
BUS;2016;9.2
BUS;2017;16.6
BUS;2018;9.4
BUS;2019;6.3
BUS;2020;16.0
