Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94069

Filename                                Filetype  Station                              Parameter                                                   Period
order_94069_TIBIA_rzz150mx_3_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        201705-201906
order_94069_TIBIA_rzz150mx_4_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        201908-201909
order_94069_TIBIA_rzz150mx_4_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        201908-201909
order_94069_TIBIA_rzz150mx_5_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        201911-201912
order_94069_TIBIA_rzz150mx_5_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        201911-201912
order_94069_TIBIA_rzz150mx_6_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202003-202005
order_94069_TIBIA_rzz150mx_6_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202003-202005
order_94069_TIBIA_rzz150mx_7_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202006-202008
order_94069_TIBIA_rzz150mx_7_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202006-202008
order_94069_TIBIA_rzz150mx_8_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202009-202103
order_94069_TIBIA_rzz150mx_8_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum ten minute total of the month        202009-202103
order_94069_BIN_rzz150mx_1_data.txt     Data      Binn                                 Precipitation; maximum ten minute total of the month        201401-202103
order_94069_BIN_rzz150mx_1_legend.txt   Legend    Binn                                 Precipitation; maximum ten minute total of the month        201401-202103
order_94069_BOS_rzz150mx_1_data.txt     Data      Bosco/Gurin                          Precipitation; maximum ten minute total of the month        201409-202011
order_94069_BOS_rzz150mx_1_legend.txt   Legend    Bosco/Gurin                          Precipitation; maximum ten minute total of the month        201409-202011
order_94069_BOS_rzz150mx_2_data.txt     Data      Bosco/Gurin                          Precipitation; maximum ten minute total of the month        202012-202103
order_94069_BOS_rzz150mx_2_legend.txt   Legend    Bosco/Gurin                          Precipitation; maximum ten minute total of the month        202012-202103
order_94069_TICHI_rzz150mx_1_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        201010-201012
order_94069_TICHI_rzz150mx_1_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        201010-201012
order_94069_TICHI_rzz150mx_2_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        201102-201111
order_94069_TICHI_rzz150mx_2_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        201102-201111
order_94069_TICHI_rzz150mx_3_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        201201-201203
order_94069_TICHI_rzz150mx_3_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        201201-201203
order_94069_TICHI_rzz150mx_4_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        201204-201612
order_94069_TICHI_rzz150mx_4_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        201204-201612
order_94069_TICHI_rzz150mx_5_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        201701-201912
order_94069_TICHI_rzz150mx_5_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        201701-201912
order_94069_TICHI_rzz150mx_6_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        202001-202005
order_94069_TICHI_rzz150mx_6_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        202001-202005
order_94069_TICHI_rzz150mx_7_data.txt   Data      Chironico                            Precipitation; maximum ten minute total of the month        202006-202102
order_94069_TICHI_rzz150mx_7_legend.txt Legend    Chironico                            Precipitation; maximum ten minute total of the month        202006-202102
order_94069_WSLCIB_rzz150mx_1_data.txt  Data      Chironico Bestand                    Precipitation; maximum ten minute total of the month        201712-201807
order_94069_WSLCIB_rzz150mx_1_legend.txt Legend    Chironico Bestand                    Precipitation; maximum ten minute total of the month        201712-201807
order_94069_WSLCIB_rzz150mx_2_data.txt  Data      Chironico Bestand                    Precipitation; maximum ten minute total of the month        201808-201907
order_94069_WSLCIB_rzz150mx_2_legend.txt Legend    Chironico Bestand                    Precipitation; maximum ten minute total of the month        201808-201907
order_94069_WSLCIF_rzz150mx_1_data.txt  Data      Chironico Freiland                   Precipitation; maximum ten minute total of the month        201712-201907
order_94069_WSLCIF_rzz150mx_1_legend.txt Legend    Chironico Freiland                   Precipitation; maximum ten minute total of the month        201712-201907
order_94069_WSLCIF_rzz150mx_2_data.txt  Data      Chironico Freiland                   Precipitation; maximum ten minute total of the month        202002-202008
order_94069_WSLCIF_rzz150mx_2_legend.txt Legend    Chironico Freiland                   Precipitation; maximum ten minute total of the month        202002-202008
order_94069_WSLCIF_rzz150mx_3_data.txt  Data      Chironico Freiland                   Precipitation; maximum ten minute total of the month        202009-202101
order_94069_WSLCIF_rzz150mx_3_legend.txt Legend    Chironico Freiland                   Precipitation; maximum ten minute total of the month        202009-202101
