 

stn;time;rhh150yx
CHU;1981;8.8
CHU;1982;8.6
CHU;1983;10.4
CHU;1984;10.1
CHU;1985;17.0
CHU;1986;10.7
CHU;1987;13.4
CHU;1988;11.6
CHU;1989;25.6
CHU;1990;8.3
CHU;1991;9.0
CHU;1992;14.8
CHU;1993;15.1
CHU;1994;11.3
CHU;1995;25.1
CHU;1996;11.4
CHU;1997;11.8
CHU;1998;12.6
CHU;1999;11.2
CHU;2000;12.4
CHU;2001;11.0
CHU;2002;15.2
CHU;2003;11.0
CHU;2004;10.2
CHU;2005;7.3
CHU;2006;11.5
CHU;2007;23.6
CHU;2008;14.9
CHU;2009;12.0
CHU;2010;29.0
CHU;2011;16.7
CHU;2012;13.4
CHU;2013;18.1
CHU;2014;8.2
CHU;2015;20.5
CHU;2016;39.7
CHU;2017;18.7
CHU;2018;10.6
CHU;2019;16.4
CHU;2020;6.5
