 

stn;time;hns000y0
GOH;1931;1053
GOH;1932;1002
GOH;1933;1260
GOH;1934;1357
GOH;1935;1691
GOH;1936;1631
GOH;1937;1599
GOH;1938;1223
GOH;1939;1800
GOH;1940;1291
GOH;1941;1584
GOH;1942;863
GOH;1943;1046
GOH;1944;1285
GOH;1945;1260
GOH;1946;1116
GOH;1947;1315
GOH;1948;916
GOH;1949;600
GOH;1950;1106
GOH;1951;2045
GOH;1952;1343
GOH;1953;413
GOH;1954;1269
GOH;1955;1013
GOH;1956;1099
GOH;1957;1350
GOH;1958;1483
GOH;1959;1116
GOH;1960;1103
GOH;1961;786
GOH;1962;817
GOH;1963;758
GOH;1964;868
GOH;1965;819
GOH;1966;1276
GOH;1967;1045
GOH;1968;1486
GOH;1969;837
GOH;1970;1387
