 

stn;time;hns000y0
GWA;1966;546
GWA;1967;433
GWA;1968;692
GWA;1969;357
GWA;1970;553
GWA;1971;354
GWA;1972;251
GWA;1973;568
GWA;1974;571
GWA;1975;394
GWA;1976;421
GWA;1977;377
GWA;1978;420
GWA;1979;464
GWA;1980;547
GWA;1981;638
GWA;1982;412
GWA;1983;305
GWA;1984;379
GWA;1985;437
GWA;1986;555
GWA;1987;388
GWA;1988;500
GWA;1989;187
